,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,word_count,sentiment,cost_m,efficient_m,effective_m,ease of use_m,max,align_type
25388,Garden,141320,Alaska 5-1-1 Fish Fertilizer 32oz bottle (concentrate),http://www.homedepot.com/p/202949934,Homedepot,PenningtonFertilizer,100131259,202949934,Yes,2022-06-23T00:00:00,2022,6,25,"Smells like catfish bait, plants love it!",...just dont get it on ya.,organic reviews,10.77,5,0,0,0,No,...just dont get it on ya.,2022-06-23,6,Negative,0.6606445908546448,0.008169293403625488,0.031364165246486664,0.08300846070051193,0.6606445908546448,cost
12771,Garden,76047,Alaska 5-1-1 Fish Fertilizer 1 Gal (concentrate),http://www.homedepot.com/p/202949934,Homedepot,PenningtonFertilizer,100211859,202949934,Yes,2022-03-08T00:00:00,2022,3,10,"If you buy this please use a little of this. It seems to work well in getting my plants to look greener and better health. I do recommend this, I just dont like the smell and make sure your pets do not go by this cause they would love to dig or whatever",Really smells fishy!,organic reviews,24.99,4,0,0,0,No,really smells fishy!,2022-03-08,3,Negative,0.6551711559295654,0.00026248142239637673,0.11104848980903625,0.00016730472270864993,0.6551711559295654,cost
2180,Garden,18280,Ironite Plus Lawn & Garden Spray 7-0-1,http://www.homedepot.com/p/t/300274489,Homedepot,PenningtonFertilizer,300274489,300274489,No,2021-07-09T00:00:00,2021,7,27,did not do anything for my lawn...,did not do anything for my lawn,organic reviews,13.66,1,0,0,0,No,did not do anything for my lawn,2021-07-09,7,Negative,0.47118350863456726,0.005788063630461693,0.002026086673140526,0.018460378050804138,0.47118350863456726,cost
1621,Garden,11692,Alaska 0-10-10 Morbloom Fertilizer 1 Gal bottle (concentrate),http://www.homedepot.com/p/t/202817757,Homedepot,PenningtonFertilizer,202817757,202817750,Yes,2021-08-01T00:00:00,2021,8,30,Is the color clear or brown?,"Previous bottles of Morbloom were clear. The latest one I opened was brown, not as dark as the fish emulsion but darker than it was previously. Has the formula changed?",syndicated reviews,17.41,4,0,0,0,No,"previous bottles of morbloom were clear. the latest one i opened was brown, not as dark as the fish emulsion but darker than it was previously. has the formula changed?",2021-08-01,30,Neutral,0.5892040133476257,0.2939310371875763,0.3896101713180542,0.08847308158874512,0.5892040133476257,cost
2680,Garden,23000,Ironite Mineral Supplement 1-0-1 by Pennington 30lb bag ,http://www.homedepot.com/p/t/206441318,Homedepot,PenningtonFertilizer,206441318,205561089,Yes,2021-06-04T00:00:00,2021,6,22,This product has made no change in the condition to...,This product has made no change in the condition to my lawn,organic reviews,28.98,5,0,0,1,No,this product has made no change in the condition to my lawn,2021-06-04,12,Negative,0.5062162280082703,0.2606554627418518,0.013286670669913292,0.11987341940402985,0.5062162280082703,cost
712,Garden,4925,Pennington UltraGreen Lawn Fertilizer 30-0-4,https://www.amazon.com/Pennington-100536576-UltraGreen-Fertilizer-Covers/dp/B07N29CHQ1/ref=sr_1_1?keywords=021496019901&qid=1637068445&sr=8-1,Amazon,PenningtonFertilizer,B07N29CHQ1,B07N29CHQ1,No,2021-06-24T00:00:00,2021,6,25,Burned my front yard.,"I planted some frog grass, or lippia nodiflora and wanted to help it grow better. Bought this bag of fertilizer and now I have big brown spots all over the yard. Very disappointed.",organic reviews,13.48,1,2,0,0,No,"i planted some frog grass, or lippia nodiflora and wanted to help it grow better. bought this bag of fertilizer and now i have big brown spots all over the yard. very disappointed.",2021-06-24,33,Negative,0.6342470049858093,0.021184058859944344,0.019859088584780693,0.007032645866274834,0.6342470049858093,cost
1628,Garden,11745,Alaska 0-10-10 Morbloom Fertilizer 1 Gal bottle (concentrate),http://www.homedepot.com/p/t/202817757,Homedepot,PenningtonFertilizer,202817757,202817750,Yes,2021-07-24T00:00:00,2021,7,29,Burns,"I was excited to find a no nitrogen fertilizer for potted annuals including dahlias. Killed everything, burned badly.",organic reviews,17.41,1,1,0,1,No,"i was excited to find a no nitrogen fertilizer for potted annuals including dahlias. killed everything, burned badly.",2021-07-24,18,Negative,0.2261675000190735,0.02305925264954567,0.052242279052734375,0.04181155562400818,0.2261675000190735,cost
17150,Garden,110724,Ironite Mineral Supplement 1-0-1 by Pennington 15lb bag ,http://www.homedepot.com/p/205561089,Homedepot,PenningtonFertilizer,205561089,205561089,No,2022-05-04T00:00:00,2022,5,18,DIDNT  WORK ON MY LAWN AT ALL....,DIDNT  WORK ON MY LAWN AT ALL.,organic reviews,18.98,1,0,0,0,No,didnt  work on my lawn at all.,2022-05-04,8,Negative,0.6433486342430115,0.0058439429849386215,0.003260252997279167,0.014641323126852512,0.6433486342430115,cost
708,Garden,4919,Pennington UltraGreen Lawn Fertilizer 30-0-4,https://www.amazon.com/Pennington-100536576-UltraGreen-Fertilizer-Covers/dp/B07N29CHQ1/ref=sr_1_1?keywords=021496019901&qid=1637068445&sr=8-1,Amazon,PenningtonFertilizer,B07N29CHQ1,B07N29CHQ1,No,2021-07-02T00:00:00,2021,7,26,No good,Bad burn up all my lawn,organic reviews,13.48,1,0,0,0,No,bad burn up all my lawn,2021-07-02,6,Negative,0.2746252715587616,0.0008428224828094244,0.380310982465744,0.000219547568121925,0.380310982465744,effective
27756,Garden,143690,Ironite Mineral Supplement 1-0-0 1 15 lbs.,https://www.lowes.com/pd/Ironite-Ironite-1-0-0/5012913023,Lowes,PenningtonFertilizer,5012913023,5012913023,No,2022-06-29T00:00:00,2022,6,26,I dont know.,"[This review was collected as part of a promotion.] I was able to try Ironite Mineral Supplement 1-0-0 From the Makers of Pennington as part of a sample program. Unfortunately there was not enough time for the product to do something in the amount of time given. Therefore, I am staying as neutral as possible.",syndicated reviews,19.98,3,0,0,0,Yes,"[this review was collected as part of a promotion.] i was able to try ironite mineral supplement 1-0-0 from the makers of pennington as part of a sample program. unfortunately there was not enough time for the product to do something in the amount of time given. therefore, i am staying as neutral as possible.",2022-06-29,55,Neutral,0.35828691720962524,0.04845825210213661,0.03753585368394852,0.3494909703731537,0.35828691720962524,cost
2590,Garden,22715,Ironite Mineral Supplement 1-0-1 by Pennington 15lb bag ,http://www.homedepot.com/p/t/205561089,Homedepot,PenningtonFertilizer,205561089,205561089,Yes,2021-07-28T00:00:00,2021,7,30,Every year we have some green grass and some brown patches. We always water and use Weed and Feed...,"Every year we have some green grass and some brown patches. We always water and use Weed and Feed, but I was hoping to find a product that made the whole lawn green this year. We ended up with the same brown patches, even thought we followed directions, used a spreader, applied product twice, and watered. Very disappointed.",organic reviews,18.98,1,0,0,0,No,"every year we have some green grass and some brown patches. we always water and use weed and feed, but i was hoping to find a product that made the whole lawn green this year. we ended up with the same brown patches, even thought we followed directions, used a spreader, applied product twice, and watered. very disappointed.",2021-07-28,58,Negative,0.4759151339530945,0.06800664216279984,0.09183431416749954,0.18099941313266754,0.4759151339530945,cost
14395,Garden,80199,Ironite Mineral Supplement 1-0-1 by Pennington 15lb bag ,http://www.homedepot.com/p/205561089,Homedepot,PenningtonFertilizer,205561089,205561089,Yes,2022-04-06T00:00:00,2022,4,14,Did not notice that much of a change....,Did not notice that much of a change.,organic reviews,18.98,3,0,0,0,No,did not notice that much of a change.,2022-04-06,8,Neutral,0.3942548334598541,0.2801938056945801,0.028766531497240067,0.5364107489585876,0.5364107489585876,ease of use
