,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,word_count,price_m,delivery_m,effectiveness_m,ease of use_m,sentiment
39,Garden,74185,Pennington Cedar Nature's Friend Bird Feeder ,https://www.walmart.com//ip/Pennington-Red-Cedar-Nature-s-Friend-Hopper-Wild-Bird-Feeder-3-lbs-Seed-Capacity/20713369?selected=true,Walmart,Pennington Bird,20713369,20713369,No,2022-02-22T00:00:00,2022,2,8,Positive,Thought it would be bigger but overall nice.,organic reviews,11.34,5,0,0,0,No,thought it would be bigger but overall nice.,2/22/2022,8,0.0872447863221168,0.2872007191181183,0.277479887008667,0.0107442382723093,Positive
48,Garden,140920,Ironite Mineral Supplement 1-0-0 1 15 lbs.,http://www.homedepot.com/p/317814846,Homedepot,Pennington Fertilizer,317814846,317814846,No,2022-06-29T00:00:00,2022,6,26,I dont know.,"[This review was collected as part of a promotion.] I was able to try Ironite Mineral Supplement 1-0-0 From the Makers of Pennington as part of a sample program. Unfortunately there was not enough time for the product to do something in the amount of time given. Therefore, I am staying as neutral as possible.",syndicated reviews,0.0,3,0,0,0,Yes,"[this review was collected as part of a promotion.] i was able to try ironite mineral supplement 1-0-0 from the makers of pennington as part of a sample program. unfortunately there was not enough time for the product to do something in the amount of time given. therefore, i am staying as neutral as possible.",6/29/2022,55,0.1739859282970428,0.1153831034898758,0.4196893870830536,0.3494903445243835,Neutral
55,Garden,68944,Sevin Insect Killer,https://www.homedepot.com/p/Sevin-32-oz-Insect-Killer-Ready-To-Use-100047720/100598614,Homedepot,GardenTech,100598614,303593722,Yes,2021-11-04T00:00:00,2021,11,44,Took several applications...,Took several applications,organic reviews,7.49,4,0,0,0,No,took several applications,11/4/2021,3,0.0526092574000358,0.1386872380971908,0.3061056137084961,0.0057006357237696,Neutral
56,Garden,132372,"AMDRO Quick Kill Carpenter Bee, Ant & Termite Killer Foam",http://www.homedepot.com/p/305448729,Homedepot,Amdro,305448910,305448729,Yes,2022-05-12T00:00:00,2022,5,19,Not good,I hit carpenter bee straight on and it does nothing.,organic reviews,10.46,1,0,0,1,No,i hit carpenter bee straight on and it does nothing.,5/12/2022,10,0.1008173450827598,0.381529837846756,0.3204495310783386,0.3854526579380035,Negative
59,Garden,141859,IMAGE Lawn Weed & Crabgrass Killer Ready-To-Spray,http://www.homedepot.com/p/311670269,Homedepot,Image for Weeds,311670269,311670269,Yes,2022-06-09T00:00:00,2022,6,23,The herbicide is excellent  but I had problems with...,"The herbicide is excellent  but I had problems with the bottle not working with my hose. Since I bought 4 bottles, I was able to transfer the contents of the 2 bottles that did not work to the bottle that did work.",organic reviews,15.47,3,0,0,0,No,"the herbicide is excellent  but i had problems with the bottle not working with my hose. since i bought 4 bottles, i was able to transfer the contents of the 2 bottles that did not work to the bottle that did work.",6/9/2022,43,0.0615664348006248,0.0493741035461425,0.4122616350650787,0.0099766300991177,Positive
61,Garden,78329,Smart Seed Ohio State Mixture 3lb bag,http://www.homedepot.com/p/314933286,Homedepot,Pennington Grass,314933286,314933286,Yes,2022-03-24T00:00:00,2022,3,12,Product was sold after expiration date; heres hoping seeds germinate....,Product was sold after expiration date; heres hoping seeds germinate.,organic reviews,16.97,2,0,0,0,No,product was sold after expiration date; heres hoping seeds germinate.,3/24/2022,10,0.222804844379425,0.1174876391887664,0.1303995549678802,0.0049752588383853,Neutral
64,Garden,135637,Smart Seed Dense Shade Mixture 7lb bag,https://www.lowes.com/pd/Pennington-Smart-Seed-Mixture-Blend-Grass-Seed/5001461187,Lowes,Pennington Grass,5001461189,5001461189,Yes,2022-05-20T00:00:00,2022,5,20,Eh,[This review was collected as part of a promotion.] Not sure I would continue to buy this seed. Didnt really grow at all blinds patchy. Spread in a shady area of my yard thats bare and really patchy growth,syndicated reviews,38.88,2,0,0,0,Yes,[this review was collected as part of a promotion.] not sure i would continue to buy this seed. didnt really grow at all blinds patchy. spread in a shady area of my yard thats bare and really patchy growth,5/20/2022,39,0.6476795077323914,0.2509997189044952,0.3589576780796051,0.1261560469865799,Negative
66,Garden,37754,Smart Seed Sun & Shade Southern Mixture 3lb bag,http://www.homedepot.com/p/t/314933317,Homedepot,Pennington Grass,314933317,314933301,Yes,2021-10-24T00:00:00,2021,10,42,Seed germinated within a week.  I have planted the...,Seed germinated within a week.  I have planted the same seed.before and is a good seed for sin and shade.,organic reviews,10.78,5,0,0,0,No,seed germinated within a week.  i have planted the same seed.before and is a good seed for sin and shade.,10/24/2021,21,0.0882990062236785,0.2594655156135559,0.5740392804145813,0.4655559360980987,Neutral
67,Garden,68857,Sevin Insect Killer,https://www.homedepot.com/p/Sevin-32-oz-Insect-Killer-Ready-To-Use-100047720/100598614,Homedepot,GardenTech,100598614,303593722,Yes,2021-07-08T00:00:00,2021,7,27,The sprayer feature was very difficult to get functioning properly...,"The sprayer feature was very difficult to get functioning properly and ultimately I had to punch my own hole in the top of the container to get it to work. Also, the fluid coming out randomly goes from clear to white despite properly shaking the container before spraying. It has now stained my garden walls and the plants themselves. Plus  the fact it hasnt killed any of the bugs on the plants after three applications. Very poor product imho.",organic reviews,7.49,1,0,0,0,No,"the sprayer feature was very difficult to get functioning properly and ultimately i had to punch my own hole in the top of the container to get it to work. also, the fluid coming out randomly goes from clear to white despite properly shaking the container before spraying. it has now stained my garden walls and the plants themselves. plus  the fact it hasnt killed any of the bugs on the plants after three applications. very poor product imho.",7/8/2021,80,0.3211006820201874,0.258167564868927,0.5526815056800842,0.0064135887660086,Negative
68,Garden,72107,Pennington Premium 7 lbs. Safflower Bird Seed Bird Food,http://www.homedepot.com/p/312026391,Homedepot,Pennington Bird,312026391,312026391,No,2022-01-05T00:00:00,2022,1,1,Yup7 pounds of safflower seeds. Hoping some  grow. Have...,Yup7 pounds of safflower seeds. Hoping some  grow. Have you ever seen a safflower plant? They are lovely.,organic reviews,13.98,5,0,0,0,No,yup7 pounds of safflower seeds. hoping some  grow. have you ever seen a safflower plant? they are lovely.,1/5/2022,19,0.5761184692382812,0.6720796823501587,0.5992025136947632,0.2277780771255493,Positive
72,Garden,90565,Pennington Select Birder's Blend 14lb,https://www.walmart.com//ip/Pennington-Select-Birder-s-Blend-Wild-Bird-Seed-and-Feed-14-lb-Bag/44496052?selected=true,Walmart,Pennington Bird,44496052,747667879,Yes,2022-04-13T00:00:00,2022,4,15,Bird seed delight,Not too many sunflowers seeds,organic reviews,14.97,5,0,0,0,No,not too many sunflowers seeds,4/13/2022,5,0.2235136330127716,0.0963125377893447,0.2933632433414459,0.2939140498638153,Neutral
73,Garden,74306,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 8 qt. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-8-qt-Bag/114494649?selected=true,Walmart,Expert Gardener,114494649,112490018,Yes,2022-02-22T00:00:00,2022,2,8,Very rich and nutrient dense,I love it! It is very rich and appears to be full of nutrients. It does not have a bad smell like others. Was still somewhat moist. I received product reimbursement in exchange for my honest review,organic reviews,3.93,5,0,0,0,No,i love it! it is very rich and appears to be full of nutrients. it does not have a bad smell like others. was still somewhat moist. i received product reimbursement in exchange for my honest review,2/22/2022,37,0.2184459865093231,0.1752868443727493,0.5434406995773315,0.3662292957305908,Positive
85,Garden,58899,Ironite Mineral Supplement 1-0-1 by Pennington 15lb bag ,https://www.lowes.com/pd/Ironite-15-lb-Improves-Soil-Structure/50260119,Lowes,Pennington Fertilizer,50260119,50260121,Yes,2021-06-17T00:00:00,2021,6,24,watch for expiration date,The product sold at the Athens Ohio Lowes was made in 2016 and expired in 2018 talked to management showed no concern,organic reviews,18.98,1,0,0,1,No,the product sold at the athens ohio lowes was made in 2016 and expired in 2018 talked to management showed no concern,6/17/2021,22,0.2004303187131881,0.3821625411510467,0.261852890253067,0.1904579699039459,Negative
89,Garden,73547,"Amdro Fire Ant Bait Mound Treatment Fire Ant Killer, 1 lb.",https://www.walmart.com//ip/Amdro-Fire-Ant-Bait-Mound-Treatment-Fire-Ant-Killer-1-lb/16817518?selected=true,Walmart,Amdro,16817518,16817518,No,2022-02-12T00:00:00,2022,2,6,Doesnt Work,This stuff doesnt work. Ive used almost a whole bottle of it and all the ants are doing are moving from one part of the yard to the other its not killing them its not getting rid of the mounds its just making the situation worse.,syndicated reviews,12.48,1,0,0,0,No,this stuff doesnt work. ive used almost a whole bottle of it and all the ants are doing are moving from one part of the yard to the other its not killing them its not getting rid of the mounds its just making the situation worse.,2/12/2022,46,0.5653800368309021,0.4125511944293976,0.3258396089076996,0.0067406012676656,Negative
103,Garden,141136,"Pennington Smart Patch Bermudagrass Mix, 5 lb Jug",http://www.homedepot.com/p/317713416,Homedepot,Pennington Grass,317713428,317713416,Yes,2022-06-22T00:00:00,2022,6,25,"25% of seeds sprouted grass, leaving bare spots....","25% of seeds sprouted grass, leaving bare spots.",organic reviews,0.0,3,0,0,0,No,"25% of seeds sprouted grass, leaving bare spots.",6/22/2022,8,0.0916229933500289,0.2324265539646148,0.4663029611110687,0.01005604211241,Neutral
106,Garden,142566,Pennington Wild Bird Food,http://www.homedepot.com/p/312026384,Homedepot,Pennington Bird,312026386,312026384,Yes,2022-06-30T00:00:00,2022,6,26,"no corn, plenty of seed...","no corn, plenty of seed",organic reviews,13.98,5,0,0,0,No,"no corn, plenty of seed",6/30/2022,5,0.0684390217065811,0.0376933403313159,0.5082096457481384,0.1558992117643356,Neutral
107,Garden,111411,The Rebels Tall Fescue 7 lb,http://www.homedepot.com/p/314933287,Homedepot,Pennington Grass,314933303,314933287,Yes,2022-04-28T00:00:00,2022,4,17,Seeded a few bare areas in my lawn. I tilled...,Seeded a few bare areas in my lawn. I tilled up the dirt first so it was loose seeded and watered daily. Got some grass but far from filling in areas. Will probably try a different brand next,organic reviews,19.83,3,0,0,0,No,seeded a few bare areas in my lawn. i tilled up the dirt first so it was loose seeded and watered daily. got some grass but far from filling in areas. will probably try a different brand next,4/28/2022,38,0.3951545655727386,0.1350985020399093,0.438518613576889,0.4896140694618225,Neutral
112,Garden,130122,AMDRO Mouse Trap ,https://www.amazon.com/dp/B07L4B3B38,Amazon,Amdro,B07L4B3B38,B07L4B3B38,No,2022-05-22T00:00:00,2022,5,20,Hard to set,Hard set the trap,organic reviews,6.98,3,0,0,0,No,hard set the trap,5/22/2022,4,0.3868065178394317,0.0959461033344268,0.1412760913372039,0.0002305915695615,Neutral
114,Garden,14457,Corry’s Slug & Snail Killer 1.75lb,http://www.homedepot.com/p/t/203636436,Homedepot,Corry's,203636436,203636436,Yes,2021-10-07T00:00:00,2021,10,40,Only got rid of some snails .still had many...,Only got rid of some snails .still had many,organic reviews,7.64,3,0,0,0,No,only got rid of some snails .still had many,10/7/2021,9,0.080828957259655,0.136091947555542,0.2975484430789947,0.01158700697124,Neutral
121,Garden,68711,Sevin Insect Killer,https://www.homedepot.com/p/Sevin-16-oz-Insect-Killer-Concentrate-100530122/308861793,Homedepot,GardenTech,308861793,303593722,Yes,2021-08-06T00:00:00,2021,8,31,Product works great on Jap. Beetles but the PLASTIC waste..,"I purchased the powder because I know that it works on the Japanese Beetle. I was so surprised when I opened the container. The PLASTIC container was only half full. What a waste of PLASTIC! Im not certain that I can even recycle this type of container in my area. Great product but its time that some of these large manufacturers start thinking over their use of PLASTIC. ITs better to consider the environment than filling up shelf space, etc. Its time that someone finds a better answer to the plastic waste. Be a leader and make a change!",syndicated reviews,12.35,4,0,0,0,No,"i purchased the powder because i know that it works on the japanese beetle. i was so surprised when i opened the container. the plastic container was only half full. what a waste of plastic! im not certain that i can even recycle this type of container in my area. great product but its time that some of these large manufacturers start thinking over their use of plastic. its better to consider the environment than filling up shelf space, etc. its time that someone finds a better answer to the plastic waste. be a leader and make a change!",8/6/2021,99,0.1852044016122818,0.2042705714702606,0.5600701570510864,0.0686439275741577,Negative
123,Garden,90233,Pennington Premium Black Oil Sunflower Bird Seed,http://www.homedepot.com/p/312026381,Homedepot,Pennington Bird,312026382,312026381,Yes,2022-04-15T00:00:00,2022,4,15,The birds.and squirrels..always seem to finish off the black oil...,"The birds.and squirrels..always seem to finish off the black oil and regular bird seed fromthis company. Very, very little waste.",organic reviews,0.0,4,0,0,0,No,"the birds.and squirrels..always seem to finish off the black oil and regular bird seed fromthis company. very, very little waste.",4/15/2022,20,0.3147069811820984,0.2284755408763885,0.5802500247955322,0.1896833032369613,Neutral
128,Garden,132708,Pennington Wild Bird Food,http://www.homedepot.com/p/312026384,Homedepot,Pennington Bird,312026384,312026384,Yes,2022-05-12T00:00:00,2022,5,19,"POOR QUALITY,  NOT WORTH THE MONEY",Very poor quality with lots of misc debris.,organic reviews,24.48,1,0,0,0,No,very poor quality with lots of misc debris.,5/12/2022,8,0.162853717803955,0.4717608988285064,0.0011002977844327,0.0002926382876466,Negative
133,Garden,70423,Pennington Premium Black Oil Sunflower Bird Seed,http://www.homedepot.com/p/312026381,Homedepot,Pennington Bird,312026381,312026381,Yes,2021-12-23T00:00:00,2021,12,51,Covers a wide range of birds...,Covers a wide range of birds,organic reviews,12.98,4,0,0,0,No,covers a wide range of birds,12/23/2021,6,0.0018665443640202,0.0101459035649895,0.313632994890213,0.1895279437303543,Neutral
134,Garden,90213,Lawn Booster Tall Fescue 9.6lb bag,http://www.homedepot.com/p/311569530,Homedepot,Pennington Grass,311569531,311569530,Yes,2022-04-13T00:00:00,2022,4,15,"Poor performance.  Hard raked the area, spread garden soil,...","Poor performance.  Hard raked the area, spread garden soil, spread the seed, put down straw, watered and the outcome is very spotty after 2 weeks.  We bought 2 bags and I feel it was a huge waste.",organic reviews,19.97,1,0,0,0,No,"poor performance.  hard raked the area, spread garden soil, spread the seed, put down straw, watered and the outcome is very spotty after 2 weeks.  we bought 2 bags and i feel it was a huge waste.",4/13/2022,39,0.0813890993595123,0.0999649316072464,0.2739947140216827,0.004074421711266,Negative
140,Garden,67085,Pennington Select Black Oil Sunflower Seed 10lb,https://www.walmart.com//ip/Pennington-Select-Black-Oil-Sunflower-Seed-Wild-Bird-Feed-10-lb-Bag/44496032?selected=true,Walmart,Pennington Bird,44496032,44496032,No,2021-08-04T00:00:00,2021,8,31,"Best price, free delivery",Wild Love birds are crazy for sunflower seeds.,organic reviews,9.4,5,0,0,0,No,wild love birds are crazy for sunflower seeds.,8/4/2021,8,0.0388625785708427,0.0633471384644508,0.4508430063724518,0.0083662923425436,Negative
146,Garden,130303,Pennington Seed Starter Mat,http://www.homedepot.com/p/100662155,Homedepot,Pennington Grass,100662155,100662155,No,2022-05-21T00:00:00,2022,5,20,Flimsy Junk,"I have really had great luck with Pennington grass seed-wonderful results. With that in mind I bought 4 rolls of Pennington seed blanket to cover a gradually banked area I seeded. I have gently watered twice a day as per the instructions included with the product. Now, three days later the blanket is comming apart. I have carefully staked it with bamboo skewers. Wow!! What a mess!!",organic reviews,21.99,1,0,0,0,No,"i have really had great luck with pennington grass seed-wonderful results. with that in mind i bought 4 rolls of pennington seed blanket to cover a gradually banked area i seeded. i have gently watered twice a day as per the instructions included with the product. now, three days later the blanket is comming apart. i have carefully staked it with bamboo skewers. wow!! what a mess!!",5/21/2022,67,0.1125803142786026,0.2966013848781585,0.503875195980072,0.0089733116328716,Positive
157,Garden,33037,Pennington Wild Bird Food,http://www.homedepot.com/p/t/312026386,Homedepot,Pennington Bird,312026386,312026384,Yes,2021-06-02T00:00:00,2021,6,22,"This ""stuff"" had not-so-small pieces of wood in it -...","This ""stuff"" had not-so-small pieces of wood in it - and Ive seen this in other bags of Pennington seed. I dont think birds eat wood. I wouldnt buy this again.",organic reviews,12.98,1,0,0,0,No,"this ""stuff"" had not-so-small pieces of wood in it - and ive seen this in other bags of pennington seed. i dont think birds eat wood. i wouldnt buy this again.",6/2/2021,31,0.5765652656555176,0.3239240050315857,0.5549265146255493,0.0079875662922859,Negative
163,Garden,71082,Pennington-Ultra-Fruit-Nut-Blend-Wild-Bird-Seed-and-Feed-7-lb,https://www.walmart.com//ip/Pennington-Ultra-Fruit-Nut-Blend-Wild-Bird-Seed-and-Feed-7-lb/16829077?selected=true,Walmart,Pennington Bird,16829077,26535522,Yes,2021-12-31T00:00:00,2021,12,52,Good,The birds love this food !,organic reviews,10.23,5,0,0,0,No,the birds love this food !,12/31/2021,6,0.0045474795624613,0.0674326866865158,0.529732346534729,0.1843784600496292,Positive
165,Garden,56884,Sevin Ready-to-Spray Bug Killer 32 oz. ,https://www.lowes.com/pd/Sevin-1-Quart-Garden-Insect-Killer/1000477903,Lowes,GardenTech,1000477903,1000477903,No,2021-06-21T00:00:00,2021,6,25,Not worth the money,"Hose connection does not seal. Hard to tell whether the spray is OFF< WATER< OR SPRAY. Spray itself is a wide angle, not like the older style, so it does not reach out as for or as far up.",organic reviews,13.98,1,0,0,1,No,"hose connection does not seal. hard to tell whether the spray is off< water< or spray. spray itself is a wide angle, not like the older style, so it does not reach out as for or as far up.",6/21/2021,39,0.2000674307346344,0.086252175271511,0.2736515402793884,0.0316070616245269,Negative
169,Garden,67738,"Eliminator Total Vegetation Killer Herbicide, 1 Gallon Concentrate",https://www.walmart.com//ip/Eliminator-Total-Vegetation-Killer-Herbicide-1-Gallon-Concentrate/669105534?selected=true,Walmart,Eliminator,669105534,935703842,No,2021-07-31T00:00:00,2021,7,30,Weeds be gone!,I have some weed growing in cracks in the driveway and at the edge of the road that keep coming back.  Im hoping this Total Vegetation killer will give me the relief I need from these weeds.  I should know more over the next couple weeks.  This review was collected as part of a promotion and the opinions are my own.,organic reviews,14.38,4,0,0,0,Yes,i have some weed growing in cracks in the driveway and at the edge of the road that keep coming back.  im hoping this total vegetation killer will give me the relief i need from these weeds.  i should know more over the next couple weeks.  this review was collected as part of a promotion and the opinions are my own.,7/31/2021,64,0.1782848984003067,0.119612380862236,0.6525725722312927,0.3742205202579498,Negative
172,Garden,141235,"Pennington Smart Patch Sun & Shade Mix, 5 lb Jug",http://www.homedepot.com/p/317713416,Homedepot,Pennington Grass,317713416,317713416,Yes,2022-06-15T00:00:00,2022,6,24,I havent given up yet...but I followed the instructions but...,I havent given up yet...but I followed the instructions but got very little results.,organic reviews,0.0,3,0,0,0,No,i havent given up yet...but i followed the instructions but got very little results.,6/15/2022,14,0.3100399374961853,0.3264553546905517,0.4314233958721161,0.0049197576008737,Negative
175,Garden,4497,AMDRO Ant Killing Bait 8-pk,https://www.amazon.com/Amdro-Kills-Ants-Stakes-Pack/dp/B0052EINNK/ref=sr_1_3?keywords=AMDRO+Ant+Killing+Bait+8-pk&qid=1637142650&sr=8-3,Amazon,Amdro,B0052EINNK,B0052EINNK,No,2021-09-14T00:00:00,2021,9,37,All 8 Baits were empty,All 8 baits in box were empty. My first review was deleted. Waste of money.,organic reviews,10.56,1,0,0,0,No,all 8 baits in box were empty. my first review was deleted. waste of money.,9/14/2021,15,0.5235256552696228,0.3930276036262512,0.0558383427560329,0.0007231557392515,Negative
177,Garden,66564,MOSS OUT! For Lawns 20 lb Granules ,https://www.walmart.com//ip/Lilly-Miller-Moss-Out-for-Lawns-With-10-Iron-20lb-Bag-Covers-5-000-sq-ft/16795015?selected=true,Walmart,Moss Out,16795015,16795015,No,2021-11-22T00:00:00,2021,11,47,mehhhh,[This review was collected as part of a promotion.] Are used this in my little lawn beds because I dont have many. It took care of mosque good enough but it also kind of killed my grass so Im not happy,organic reviews,14.97,1,0,0,0,Yes,[this review was collected as part of a promotion.] are used this in my little lawn beds because i dont have many. it took care of mosque good enough but it also kind of killed my grass so im not happy,11/22/2021,41,0.214497223496437,0.2330513000488281,0.5999550819396973,0.0636152252554893,Negative
183,Garden,27711,Lawn Booster Tall Fescue 9.6lb bag,http://www.homedepot.com/p/t/311569531,Homedepot,Pennington Grass,311569531,311569530,Yes,2021-07-08T00:00:00,2021,7,27,Did not grow. Prepared soil as instructed and water regular...,Did not grow. Prepared soil as instructed and water regular with sprinkler system.,organic reviews,17.98,1,0,0,0,No,did not grow. prepared soil as instructed and water regular with sprinkler system.,7/8/2021,13,0.1926700174808502,0.2575343549251556,0.4506866335868835,0.4927546083927154,Negative
193,Garden,72592,Pennington Select Black Oil Sunflower Seed 10lb,https://www.walmart.com//ip/Pennington-Select-Black-Oil-Sunflower-Seed-Wild-Bird-Feed-10-lb-Bag/44496032?selected=true,Walmart,Pennington Bird,44496032,44496029,Yes,2022-01-04T00:00:00,2022,1,1,,"I do not know if the birds like the food or not; it never last long enough, the squirrels love it! I do not bother putting it in the bird feeders anymore. I sprinkle it under the trees, sit back and watch the squirrels.....Great fun!",organic reviews,11.48,5,0,0,0,No,"i do not know if the birds like the food or not; it never last long enough, the squirrels love it! i do not bother putting it in the bird feeders anymore. i sprinkle it under the trees, sit back and watch the squirrels.....great fun!",1/4/2022,45,0.4404148459434509,0.2511941194534302,0.4117057621479034,0.2751376926898956,Positive
200,Garden,142836,Smart Seed Kentucky Bluegrass Blend 3lb bag,http://www.homedepot.com/p/314933301,Homedepot,Pennington Grass,314933309,314933301,Yes,2022-06-09T00:00:00,2022,6,23,Save your time and money,"2 years ago I bought this seed to fix some bare and thin spots in my front lawn. I scratched the soil with a bow rake, spread the seed and top dressed everything with topsoil. Nothing - not a single seed germinated. This year I bought the same seed and went about the  job a little differently. After  core aerating my lawn, I spread the seed  and then gently broke up the dried up soil cores with a leaf rake and spread the soil around. Same results as last time. Dont waste your time or money.",organic reviews,19.48,1,0,0,0,No,"2 years ago i bought this seed to fix some bare and thin spots in my front lawn. i scratched the soil with a bow rake, spread the seed and top dressed everything with topsoil. nothing - not a single seed germinated. this year i bought the same seed and went about the  job a little differently. after  core aerating my lawn, i spread the seed  and then gently broke up the dried up soil cores with a leaf rake and spread the soil around. same results as last time. dont waste your time or money.",6/9/2022,99,0.5283689498901367,0.4559565186500549,0.5546208024024963,0.0484195947647094,Neutral
