,Unnamed: 0.1,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,word_count,cost_m,efficient_m,effective_m,ease of use_m,sentiment
129,3864,Garden,46299,The Rebels Shady Lawn 20lb bag,http://www.homedepot.com/p/t/314933310,Homedepot,Pennington Grass,314933310,314933313,Yes,2021-06-11T00:00:00,2021,6,23,Its has been 3 weeks and the seed has not...,"Its has been 3 weeks and the seed has not come up at all, I have watered everyday.  Bought 3 bags, very big disappointment.",organic reviews,52.98,1,0,0,0,No,"its has been 3 weeks and the seed has not come up at all, i have watered everyday.  bought 3 bags, very big disappointment.",2021-06-11,25,0.6904213428497314,0.0237286463379859,0.0331654138863086,0.0036061753053218,Negative
130,15386,Garden,90670,Pennington Gray Plastic Hopper Bird Feeder,https://www.walmart.com//ip/Pennington-Gray-Plastic-Hopper-Chickadee-Wild-Bird-Feeder-2-5-lb-Capacity/675610700?selected=true,Walmart,Pennington Bird,675610700,675610700,No,2022-04-12T00:00:00,2022,4,15,Food for All,"Holds a large quantity of seed, but this size does not have a screw top lid likethe 5 lb size does, so the squirrel climbed the pole and got to it.",organic reviews,6.78,3,0,0,0,No,"holds a large quantity of seed, but this size does not have a screw top lid likethe 5 lb size does, so the squirrel climbed the pole and got to it.",2022-04-12,31,0.3792882561683655,0.224342867732048,0.6731616258621216,0.0879561752080917,Neutral
140,20940,Garden,132663,Pennington Premium Black Oil Sunflower Bird Seed Bucket,http://www.homedepot.com/p/312026381,Homedepot,Pennington Bird,312026401,312026381,Yes,2022-05-13T00:00:00,2022,5,19,Not quite as good as in the past.bag contained some...,"Not quite as good as in the past.bag contained some debris, including sunflower stalks",organic reviews,20.98,4,0,0,0,No,"not quite as good as in the past.bag contained some debris, including sunflower stalks",2022-05-13,14,0.6678387522697449,0.0040996726602315,0.0084683997556567,0.0016737099504098,Negative
160,9729,Garden,70426,Pennington Premium Black Oil Sunflower Bird Seed,http://www.homedepot.com/p/312026381,Homedepot,Pennington Bird,312026381,312026381,Yes,2021-12-27T00:00:00,2021,12,52,"Too Many Twigs, Stems and Empty Shells","Seeds are OK but 1/5 the bag was twigs, stems and empty shells. Im having to hand sort through it for fear of the larger debris blocking up my tube feeder. Not a fan.",organic reviews,12.98,2,0,0,0,No,"seeds are ok but 1/5 the bag was twigs, stems and empty shells. im having to hand sort through it for fear of the larger debris blocking up my tube feeder. not a fan.",2021-12-27,34,0.6329207420349121,0.0097764609381556,0.1091528758406639,0.0024509401991963,Negative
177,531,Garden,3989,AMDRO Ant Block Home Perimeter Ant Bait 24oz,https://www.amazon.com/dp/B000QDEQ7E,Amazon,Amdro,B000QDEQ7E,B000QDEQ7E,No,2021-08-12T00:00:00,2021,8,32,Theyre all gone.,I had ands in every flower and vegetable garden. Ant hills all over my lawn. All gone. Probably too 15 minutes for application.,organic reviews,14.47,5,0,0,0,No,i had ands in every flower and vegetable garden. ant hills all over my lawn. all gone. probably too 15 minutes for application.,2021-08-12,23,0.1275980174541473,0.0994114205241203,0.4737080037593841,0.0146680762991309,Negative
182,15018,Garden,90302,Smart Seed Sun & Shade Southern Mixture 20lb bag,http://www.homedepot.com/p/314933301,Homedepot,Pennington Grass,314933322,314933301,Yes,2022-04-15T00:00:00,2022,4,15,"Planted the seed over a month, still no grass","We tilled the front area and raked and planted the Bermudia grass and what was left we done the back area.  Its been over a month with watering it and still no grass.  What are we to do now, Smart Seed  does not work here on the coast of North Carolina where it is hot and dry.",organic reviews,63.53,1,1,0,0,No,"we tilled the front area and raked and planted the bermudia grass and what was left we done the back area.  its been over a month with watering it and still no grass.  what are we to do now, smart seed  does not work here on the coast of north carolina where it is hot and dry.",2022-04-15,60,0.6066401600837708,0.0493325740098953,0.0243176482617855,0.0158823709934949,Negative
189,1129,Garden,6519,Smart Seed Dense Shade Mixture 7lb bag,https://www.amazon.com/dp/B08QCFWWMV,Amazon,Pennington Grass,B08QCFWWMV,B08QCGQJT9,Yes,2021-09-16T00:00:00,2021,9,37,Nothing grew.,"I used 2 products. This one and another one (Scotts). Same sun exposure, same water. This one did not grow :(",organic reviews,19.8,1,0,0,0,No,"i used 2 products. this one and another one (scotts). same sun exposure, same water. this one did not grow :(",2021-09-16,21,0.111431635916233,0.1633003801107406,0.0624480843544006,0.2574745118618011,Negative
205,1236,Garden,6674,The Rebels Tall Fescue 3 lb,https://www.amazon.com/dp/B08QC9QRQ1,Amazon,Pennington Grass,B08QC9QRQ1,B08QC9QRQ1,Yes,2021-06-30T00:00:00,2021,6,26,Maybe its me... but.....,Maybe because where I live or how I watered it.... But these did not seeded or made any sufficient difference on my lawn for me to buy again.,organic reviews,11.6,2,0,0,0,No,maybe because where i live or how i watered it.... but these did not seeded or made any sufficient difference on my lawn for me to buy again.,2021-06-30,28,0.3150560557842254,0.0035579910036176,0.0015615972224622,0.021100053563714,Negative
206,19793,Garden,131333,"Pennington Smart Patch Sun & Shade Mix, 10 lb",http://www.homedepot.com/p/317713416,Homedepot,Pennington Grass,317713423,317713416,Yes,2022-05-15T00:00:00,2022,5,19,Very disappointed,"Its been over two weeks and I have not seen any signs of life out of this product despite following the directions and watering lightly twice per day. Ive used Pennington products in the past with success, but based on recent reviews, it seems like Im not the only one with issues with this product. Perhaps a bad batch?",organic reviews,23.81,1,0,0,0,No,"its been over two weeks and i have not seen any signs of life out of this product despite following the directions and watering lightly twice per day. ive used pennington products in the past with success, but based on recent reviews, it seems like im not the only one with issues with this product. perhaps a bad batch?",2022-05-15,59,0.6803998351097107,0.0538987033069133,0.0067836665548384,0.0251861009746789,Negative
217,12917,Garden,76193,Pennington Select Black Oil Sunflower Seed 10lb,https://www.walmart.com//ip/Pennington-Select-Black-Oil-Sunflower-Seed-Wild-Bird-Feed-10-lb-Bag/44496032?selected=true,Walmart,Pennington Bird,44496032,46855890,Yes,2022-03-11T00:00:00,2022,3,10,Pick up Goofiness,Went to pick up at store 800 and ran into all kinds of goofiness. Kiosk not working and phone number not working. Supposed to go around back of building and wait in a slot. Just bought bag off shelf.,organic reviews,10.46,1,0,0,0,No,went to pick up at store 800 and ran into all kinds of goofiness. kiosk not working and phone number not working. supposed to go around back of building and wait in a slot. just bought bag off shelf.,2022-03-11,39,0.248533621430397,0.0004499441711232,0.0158338267356157,0.0012440875871106,Negative
247,4988,Garden,56731,AMDRO Gopher Gasser 6-pack,https://www.lowes.com/pd/AMDRO-Gasser-6-Count-Gopher-Killer/3651779,Lowes,Amdro,3651779,3651779,No,2021-11-06T00:00:00,2021,11,44,Didnt apparently work,Moles pushed the item out of the tunnel and apparently had no effect on them.,organic reviews,7.98,2,0,0,0,No,moles pushed the item out of the tunnel and apparently had no effect on them.,2021-11-06,15,0.4477685391902923,0.4466036260128021,0.0174296293407678,0.2993117570877075,Neutral
248,864,Garden,5492,One Step Complete Sun & Shade 10lb bag,https://www.amazon.com/dp/B084NMGHK5,Amazon,Pennington Grass,B084NMGHK5,B084NMJZWG,Yes,2021-07-16T00:00:00,2021,7,28,Doesnt grow-crab grasd,Product produced lots of crab grass. Not happy and would not recommend.,organic reviews,15.94,1,0,0,0,No,product produced lots of crab grass. not happy and would not recommend.,2021-07-16,12,0.6698778867721558,0.0018187793903052,0.0099497400224208,0.0002742611104622,Negative
265,4030,Garden,49422,"Pennington Smart Patch Sun & Shade Mix, 5 lb Jug",http://www.homedepot.com/p/t/317713416,Homedepot,Pennington Grass,317713416,317713416,No,2021-10-21T00:00:00,2021,10,42,easy to use on my patchy grassy area,[This review was collected as part of a promotion.] We have applied the product as directed but it will take a little time to see results,syndicated reviews,0.0,3,0,0,0,Yes,[this review was collected as part of a promotion.] we have applied the product as directed but it will take a little time to see results,2021-10-21,26,0.259033203125,0.0547048822045326,0.1755646765232086,0.3231321275234222,Neutral
270,12748,Garden,76024,One Step Complete Bermuda 10lb ,https://www.amazon.com/dp/B084NJ597P,Amazon,Pennington Grass,B084NJ597P,B084NJ597P,Yes,2022-03-10T00:00:00,2022,3,10,not recomment,"water 3 times a day for 2 weeks, not growing at all.",organic reviews,15.94,1,0,0,0,No,"water 3 times a day for 2 weeks, not growing at all.",2022-03-10,12,0.5792147517204285,0.3174004852771759,0.3706107139587402,0.2453479766845703,Negative
271,18793,Garden,130203,One Step Complete Sun & Shade 10lb bag,https://www.amazon.com/dp/B084NMGHK5,Amazon,Pennington Grass,B084NMGHK5,B084NMJZWG,Yes,2022-05-19T00:00:00,2022,5,20,Do not recommend if you live in Southern California,"Grass seed grew but didnt survive. It was seeding in Nov with warm weather, made it through the cold of winter but now this month",organic reviews,19.99,1,0,0,0,No,"grass seed grew but didnt survive. it was seeding in nov with warm weather, made it through the cold of winter but now this month",2022-05-19,25,0.6251854300498962,0.0390444844961166,0.1385620385408401,0.0051782657392323,Negative
275,27161,Garden,143093,Smart Seed Ohio State Mixture 20lb bag,http://www.homedepot.com/p/314933286,Homedepot,Pennington Grass,314933299,314933286,Yes,2022-06-16T00:00:00,2022,6,24,Disappointed !!,"This is the only time in my entire life that I can recall planting grass seed , and seeing nothing grow ! Who in the world named this stuff , "" Smart Seed "" ?",organic reviews,53.97,1,0,0,0,No,"this is the only time in my entire life that i can recall planting grass seed , and seeing nothing grow ! who in the world named this stuff , "" smart seed "" ?",2022-06-16,35,0.2179194688796997,0.0018879434792324,0.0058858660049736,0.0005683041526935,Negative
292,3789,Garden,37809,Smart Seed Sun & Shade Mixture 7lb bag,http://www.homedepot.com/p/t/314933320,Homedepot,Pennington Grass,314933320,314933321,Yes,2021-09-21T00:00:00,2021,9,38,no grass yet/,see no results so far.,organic reviews,24.98,1,0,0,0,No,see no results so far.,2021-09-21,5,0.5674614310264587,0.0069324197247624,0.0008515026420354,0.0223169438540935,Negative
295,27338,Garden,143270,Smart Seed Sun & Shade Mixture 3lb bag,http://www.homedepot.com/p/314933321,Homedepot,Pennington Grass,314933321,314933321,Yes,2022-06-01T00:00:00,2022,6,22,After 3 weeks I still have no growth. New soil...,After 3 weeks I still have no growth. New soil and watered every day.,organic reviews,12.94,1,0,0,0,No,after 3 weeks i still have no growth. new soil and watered every day.,2022-06-01,14,0.5584361553192139,0.1046294271945953,0.6165590882301331,0.0090873381122946,Negative
301,28027,Garden,143965,"Pennington Smart Patch Bermudagass Mix, 10 lb",https://www.lowes.com/pd/Pennington-Smart-Patch-Bermuda-10-LB/5005478561,Lowes,Pennington Grass,5005478561,5005478561,No,2022-06-08T00:00:00,2022,6,23,Little growth,"[This review was collected as part of a promotion.] I had high hopes for this, unfortunately it didnt work like I thought it would. I did everything but the instructions but only had minimal growth.",syndicated reviews,28.98,3,0,0,0,Yes,"[this review was collected as part of a promotion.] i had high hopes for this, unfortunately it didnt work like i thought it would. i did everything but the instructions but only had minimal growth.",2022-06-08,35,0.5226048231124878,0.0123623609542846,0.0142918797209858,0.3177114129066467,Negative
311,22639,Garden,134621,Sevin Insect Killer Dust 1 lb. ,https://www.lowes.com/pd/Sevin-5-Dust-1-lb-Garden-Insect-Killer/5000198919,Lowes,GardenTech,5000198919,5000198919,No,2022-05-12T00:00:00,2022,5,19,Poison,"[This review was collected as part of a promotion.] I have been looking for an insect repellant for my herbs and vegetable plants, but I was very shocked at how poisonous and terrible this was for the environment. There are more warnings on the packaging than there are instructions. I prefer to use more natural based products and will not be using this on my produce as it is intended to kill literally everything it touches.",syndicated reviews,6.28,1,0,0,0,Yes,"[this review was collected as part of a promotion.] i have been looking for an insect repellant for my herbs and vegetable plants, but i was very shocked at how poisonous and terrible this was for the environment. there are more warnings on the packaging than there are instructions. i prefer to use more natural based products and will not be using this on my produce as it is intended to kill literally everything it touches.",2022-05-12,76,0.6031473278999329,0.195829302072525,0.1477070897817611,0.0004149904707446,Negative
319,16053,Garden,100648,The Rebels Tall Fescue 40lb bag,http://www.homedepot.com/p/314933287,Homedepot,Pennington Grass,314933300,314933287,Yes,2022-04-19T00:00:00,2022,4,16,Less than 10% actually germinated....,Less than 10% actually germinated.,organic reviews,99.97,1,0,0,0,No,less than 10% actually germinated.,2022-04-19,5,0.4674588143825531,0.1795314997434616,0.3599647581577301,0.0483861118555069,Neutral
339,27298,Garden,143230,Smart Seed Pennsylvania State Mixture 20lb bag,http://www.homedepot.com/p/314933324,Homedepot,Pennington Grass,314933290,314933324,Yes,2022-06-04T00:00:00,2022,6,22,Did not help my grass...,Did not help my grass,organic reviews,75.47,1,0,0,0,No,did not help my grass,2022-06-04,5,0.4346140623092651,0.0023091314360499,0.0038598629180341,0.0005693344864994,Negative
354,20681,Garden,132357,"AMDRO Quick Kill Carpenter Bee, Ant & Termite Killer Concentrate 32oz",http://www.homedepot.com/p/305448729,Homedepot,Amdro,305448729,305448729,Yes,2022-05-25T00:00:00,2022,5,21,Did nothing,"Sprayed every bee hole with it, didnt seem to make e difference to the bees at all.",organic reviews,13.82,1,0,0,0,No,"sprayed every bee hole with it, didnt seem to make e difference to the bees at all.",2022-05-25,17,0.6323981285095215,0.1980438381433487,0.0427414886653423,0.2941670417785644,Negative
361,21213,Garden,132984,Smart Seed Sun & Shade Southern Mixture 7lb bag,http://www.homedepot.com/p/314933301,Homedepot,Pennington Grass,314933316,314933301,Yes,2022-05-25T00:00:00,2022,5,21,Low springtime germination,Had very low percentage of germination in a springtime spot repair effort.,organic reviews,24.97,2,0,0,0,No,had very low percentage of germination in a springtime spot repair effort.,2022-05-25,12,0.3804637193679809,0.0494746677577495,0.0734421834349632,0.0015734210610389,Neutral
362,2898,Garden,27341,Kentucky 31 Tall Fescue 20lb bag,http://www.homedepot.com/p/t/314933308,Homedepot,Pennington Grass,314933308,306924565,Yes,2021-07-17T00:00:00,2021,7,28,Only about 1/4 of the seed showed growth,Only about 1/4 of the seed showed growth,organic reviews,33.61,2,0,0,0,No,only about 1/4 of the seed showed growth,2021-07-17,8,0.5594785809516907,0.2235442698001861,0.3790283501148224,0.0550648234784603,Neutral
372,1247,Garden,6696,The Rebels Tall Fescue 7 lb,https://www.amazon.com/dp/B08QC7VV6J,Amazon,Pennington Grass,B08QC7VV6J,B08QC9QRQ1,Yes,2021-06-03T00:00:00,2021,6,22,"Decent, but was hoping for better results.","Used for overseeding. Moderate success. Still some bare areas. Could be due to a host of factors, but the hope was that overseeding with quality seeds would be enough.",organic reviews,23.68,3,0,0,1,No,"used for overseeding. moderate success. still some bare areas. could be due to a host of factors, but the hope was that overseeding with quality seeds would be enough.",2021-06-03,29,0.3976624608039856,0.2623254358768463,0.3332536816596985,0.0650041550397872,Neutral
378,14173,Garden,79390,MOSS OUT! For Lawns Granules 40 lb Granules ,https://www.lowes.com/pd/Lilly-Miller-40-lb-Moss-Control/1000342343,Lowes,Moss Out,1000342343,1000342343,No,2022-03-31T00:00:00,2022,3,13,What changed? The birds wont touch our lawn after applying,"Use this to get rid of moss which i did, but something changed in the product as this year the birds and squirrels are avoiding our lawn since the application. What has changed in the product? Really kind of scary!",syndicated reviews,27.98,1,0,0,0,No,"use this to get rid of moss which i did, but something changed in the product as this year the birds and squirrels are avoiding our lawn since the application. what has changed in the product? really kind of scary!",2022-03-31,40,0.1690944582223892,0.0334881991147995,0.2726645171642303,0.0027809222228825,Negative
380,24037,Garden,136149,Smart Seed Dense Shade Mixture 7lb bag,https://www.lowes.com/pd/Pennington-Smart-Seed-Dense-Shade-7-lb-Mixture-Blend-Grass-Seed/5013148065,Lowes,Pennington Grass,5013148065,5013148065,Yes,2022-05-12T00:00:00,2022,5,19,Cant tell,"[This review was collected as part of a promotion.] I have never used a grass seed in my life so I dont have much experience to go off of, but I have seen very little grass grown where I applied this grass seed. Where I live hasnt been very warm and spring like either though.",syndicated reviews,38.88,1,0,0,0,Yes,"[this review was collected as part of a promotion.] i have never used a grass seed in my life so i dont have much experience to go off of, but i have seen very little grass grown where i applied this grass seed. where i live hasnt been very warm and spring like either though.",2022-05-12,55,0.5901655554771423,0.043215837329626,0.4381188154220581,0.0541997700929641,Negative
395,21262,Garden,133038,Smart Seed Dense Shade Mixture 3lb bag,http://www.homedepot.com/p/314933301,Homedepot,Pennington Grass,314933301,314933301,Yes,2022-05-12T00:00:00,2022,5,19,Didnt really work well,"[This review was collected as part of a promotion.] Applied the seed in a shaded area in our backyard near the porch with some areas that needed filling. Had a few blades pop up but didnt really grow much, may have been user error though.",syndicated reviews,11.25,2,2,0,0,Yes,"[this review was collected as part of a promotion.] applied the seed in a shaded area in our backyard near the porch with some areas that needed filling. had a few blades pop up but didnt really grow much, may have been user error though.",2022-05-12,45,0.5313809514045715,0.022598436102271,0.0053359814919531,0.1028774157166481,Neutral
404,17665,Garden,111239,Smart Seed Dense Shade Mixture 7lb bag,http://www.homedepot.com/p/314933301,Homedepot,Pennington Grass,314933291,314933301,Yes,2022-04-27T00:00:00,2022,4,17,I was not happy with the turnout; the yard looks...,I was not happy with the turnout; the yard looks bad.,organic reviews,33.97,1,0,0,0,No,i was not happy with the turnout; the yard looks bad.,2022-04-27,11,0.6395489573478699,0.0004086778499186,0.0469913408160209,0.0005496903322637,Negative
412,24368,Garden,140299,One Step Complete Sun & Shade 10lb bag,https://www.amazon.com.com/dp/B084NMGHK5,Amazon,Pennington Grass,B084NMGHK5,B084NMJZWG,Yes,2022-06-07T00:00:00,2022,6,23,Did not come up,Did not come up maybe old seed,organic reviews,49.99,1,0,0,0,No,did not come up maybe old seed,2022-06-07,7,0.2438249737024307,0.0017533043865114,0.0040316120721399,0.002813451224938,Neutral
414,23641,Garden,135721,Smart Seed Sun & Shade Southern Mixture 7lb bag,https://www.lowes.com/pd/Pennington-Smart-Seed-Mixture-Blend-Grass-Seed/5001461177,Lowes,Pennington Grass,5001461179,5001461179,Yes,2022-05-12T00:00:00,2022,5,19,didnt work,"[This review was collected as part of a promotion.] I put this seed down on the patches that didnt come back this spring hoping to fill them in. We were getting lots of rain and then those spots were watetered on days that it didnt rain. 2 weeks later and none of the grass seed sprouted, so I am pretty disappointed in this product.",syndicated reviews,29.68,2,0,0,0,Yes,"[this review was collected as part of a promotion.] i put this seed down on the patches that didnt come back this spring hoping to fill them in. we were getting lots of rain and then those spots were watetered on days that it didnt rain. 2 weeks later and none of the grass seed sprouted, so i am pretty disappointed in this product.",2022-05-12,64,0.6464137434959412,0.0092765288427472,0.0025615068152546,0.0317567326128482,Negative
415,878,Garden,5542,Root Boost Rooting Hormone 2oz. Bottle,https://www.amazon.com/dp/B0068IS16S,Amazon,GardenTech,B0068IS16S,B0068IS16S,No,2021-06-24T00:00:00,2021,6,25,didnt root peach tree or grape vine cuttings after 2 months,"I was dreaming of having too many cuttings to plant in the yard. Instead all my cuttings just perished after two months of being submersed in containers of soil with rooting powder on plant and containers in water. I think the product is ok, but the product needs to stick to the plant to work. It wont stick.",organic reviews,8.96,1,0,0,0,No,"i was dreaming of having too many cuttings to plant in the yard. instead all my cuttings just perished after two months of being submersed in containers of soil with rooting powder on plant and containers in water. i think the product is ok, but the product needs to stick to the plant to work. it wont stick.",2021-06-24,58,0.2779434323310852,0.0340678021311759,0.0225426312536001,0.0326627232134342,Negative
429,22345,Garden,134305,Sevin Ready-to-Use 1 gal.,https://www.lowes.com/pd/Sevin-1-Gallon-Garden-Insect-Killer/50261725,Lowes,GardenTech,50261725,50261725,No,2022-05-26T00:00:00,2022,5,21,Ants,"[This review was collected as part of a promotion.] In upstate SC, big, red ant hills all over your lawn are unsightly and hard to get rid of. The products that Ive tried up til now have gotten rid of the treated hill but another pops up right beside it. So far that hasnt happened with this product. Hopeful this is the solution!",syndicated reviews,16.98,5,0,0,0,Yes,"[this review was collected as part of a promotion.] in upstate sc, big, red ant hills all over your lawn are unsightly and hard to get rid of. the products that ive tried up til now have gotten rid of the treated hill but another pops up right beside it. so far that hasnt happened with this product. hopeful this is the solution!",2022-05-26,63,0.5965945720672607,0.3351733088493347,0.5879868865013123,0.0410300940275192,Negative
