,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,word_count,sentiment_m,cost_m,efficient_m,effective_m,ease of use_m,max,other_m,align_type
10,Garden,90124,Corry’s Slug & Snail Killer 1.75lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636436,203636436,Yes,2022-04-14T00:00:00,2022,4,15,Works,This is an old time product my grandpa always used and Im 57. It works great and  It is ok to use if you have dogs or cats.,organic reviews,7.97,5,0,0,0,No,this is an old time product my grandpa always used and im 57. it works great and  it is ok to use if you have dogs or cats.,2022-04-14,29,positive,,efficient,effective,ease of use,0.998340904712677,,"('', 'efficient', 'effective', 'ease of use', '')"
11,Garden,141444,Corry’s Slug & Snail Killer 1.75lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636436,203636436,Yes,2022-06-24T00:00:00,2022,6,25,It did what it is supposed to do. Slugs vanished...,It did what it is supposed to do. Slugs vanished the very next day i applied corrys slug killer,organic reviews,7.97,5,0,0,0,No,it did what it is supposed to do. slugs vanished the very next day i applied corrys slug killer,2022-06-24,19,neutral,,efficient,effective,ease of use,0.9970977902412415,,"('', 'efficient', 'effective', 'ease of use', '')"
12,Garden,110609,Corry’s Slug & Snail Killer 1.75lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636436,203636436,Yes,2022-05-04T00:00:00,2022,5,18,I put 16 pounds around the perimeter of my house...,I put 16 pounds around the perimeter of my house and I havent seen a snail since then.,organic reviews,7.97,5,0,0,0,No,i put 16 pounds around the perimeter of my house and i havent seen a snail since then.,2022-05-04,18,neutral,,efficient,effective,,0.9953711628913879,,"('', 'efficient', 'effective', '', '')"
13,Garden,5334,Corry’s Slug & Snail Killer 3.5lb,https://www.amazon.com/dp/B00CYNH3RE,Amazon,Corrys,B00CYNH3RE,B00CYNH3RE,No,2021-10-03T00:00:00,2021,10,39,Gone,Slugs were gone over night.,organic reviews,11.96,5,0,0,0,No,slugs were gone over night.,2021-10-03,5,neutral,,efficient,effective,,0.9862464070320129,,"('', 'efficient', 'effective', '', '')"
14,Garden,141453,Corry’s Slug & Snail Killer 1.75lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636436,203636436,Yes,2022-06-22T00:00:00,2022,6,25,Seems to have worked to get rid of my slugs...,Seems to have worked to get rid of my slugs,organic reviews,7.97,5,0,0,0,No,seems to have worked to get rid of my slugs,2022-06-22,10,neutral,,efficient,effective,,0.9987462162971497,,"('', 'efficient', 'effective', '', '')"
15,Garden,141447,Corry’s Slug & Snail Killer 1.75lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636436,203636436,Yes,2022-06-22T00:00:00,2022,6,25,Big reduction of slugs outside of my house at night....,Big reduction of slugs outside of my house at night.,organic reviews,7.97,5,0,0,0,No,big reduction of slugs outside of my house at night.,2022-06-22,10,neutral,,efficient,effective,,0.9963111281394958,,"('', 'efficient', 'effective', '', '')"
16,Garden,79098,Corry’s Slug & Snail Killer 1.75lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636436,203636436,Yes,2022-04-01T00:00:00,2022,4,13,I used a liquid slug bait called Deadline.  I...,"I used a liquid slug bait called Deadline.  I prefer it to dry slug bait, but cant find it anywhere.",organic reviews,7.97,3,0,0,0,No,"i used a liquid slug bait called deadline.  i prefer it to dry slug bait, but cant find it anywhere.",2022-04-01,21,negative,,,,,0.6299293637275696,other,"('', '', '', '', 'other')"
17,Garden,141491,Corry’s Slug & Snail Killer 3.5lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636434,203636436,Yes,2022-06-22T00:00:00,2022,6,25,Too soon to judge results....,Too soon to judge results.,organic reviews,13.97,4,0,0,0,No,too soon to judge results.,2022-06-22,5,neutral,,,,,0.3867817521095276,other,"('', '', '', '', 'other')"
18,Garden,77093,Corry’s Slug & Snail Killer 3.5lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636434,203636436,Yes,2022-03-15T00:00:00,2022,3,11,Havent seen any slugs since Ive started using this last...,Havent seen any slugs since Ive started using this last year,organic reviews,13.97,5,0,0,0,No,havent seen any slugs since ive started using this last year,2022-03-15,11,neutral,,efficient,effective,ease of use,0.9960632920265198,,"('', 'efficient', 'effective', 'ease of use', '')"
19,Garden,131597,Corry’s Slug & Snail Killer 8lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636415,203636436,Yes,2022-05-19T00:00:00,2022,5,20,Pour a little pile away from your problem area and...,Pour a little pile away from your problem area and those little bugger will go to it,organic reviews,23.97,5,0,0,0,No,pour a little pile away from your problem area and those little bugger will go to it,2022-05-19,17,negative,,efficient,effective,ease of use,0.9983235001564026,,"('', 'efficient', 'effective', 'ease of use', '')"
20,Garden,5237,Corry’s Slug & Snail Killer 3.5lb,https://www.amazon.com/dp/B00CYNH3RE,Amazon,Corrys,B00CYNH3RE,B00CYNH3RE,No,2021-11-22T00:00:00,2021,11,47,Great product,I normally have a lot of slugs around my house but after just one use I havent seen a slug since and its been months.,organic reviews,11.96,5,0,0,0,No,i normally have a lot of slugs around my house but after just one use i havent seen a slug since and its been months.,2021-11-22,25,negative,,efficient,effective,ease of use,0.9908209443092346,,"('', 'efficient', 'effective', 'ease of use', '')"
21,Garden,5395,Corry’s Slug & Snail Killer 3.5lb,https://www.amazon.com/dp/B00CYNH3RE,Amazon,Corrys,B00CYNH3RE,B00CYNH3RE,No,2021-09-02T00:00:00,2021,9,35,Works like a charm,"Slugs kept eating my strawberries, so I put this down in the evening, just before they all normally crawl out of hiding. I used it pretty liberally all over my yard and around my plants. When I checked the next morning, no slugs. I checked again the next evening. No slugs. I havent seen any slugs since then, but I think its about time to reapply for any newly hatched ones.I highly recommend this!",organic reviews,11.96,5,0,0,1,No,"slugs kept eating my strawberries, so i put this down in the evening, just before they all normally crawl out of hiding. i used it pretty liberally all over my yard and around my plants. when i checked the next morning, no slugs. i checked again the next evening. no slugs. i havent seen any slugs since then, but i think its about time to reapply for any newly hatched ones.i highly recommend this!",2021-09-02,74,neutral,cost,efficient,effective,,0.9991180300712585,,"('cost', 'efficient', 'effective', '', '')"
22,Garden,141463,Corry’s Slug & Snail Killer 1.75lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636436,203636436,Yes,2022-06-01T00:00:00,2022,6,22,"this is a great product, however it will draw Rats...","this is a great product, however it will draw Rats",organic reviews,7.97,4,0,0,0,No,"this is a great product, however it will draw rats",2022-06-01,10,positive,,,,,0.40943729877471924,other,"('', '', '', '', 'other')"
23,Garden,141454,Corry’s Slug & Snail Killer 1.75lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636436,203636436,Yes,2022-06-22T00:00:00,2022,6,25,Great protect used to take care of the snails...,Great protect used to take care of the snails,organic reviews,7.97,5,0,0,0,No,great protect used to take care of the snails,2022-06-22,9,positive,,efficient,effective,,0.9919573068618774,,"('', 'efficient', 'effective', '', '')"
24,Garden,110623,Corry’s Slug & Snail Killer 3.5lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636434,203636436,Yes,2022-05-04T00:00:00,2022,5,18,Works on city snails but the country ones just laugh....,Works on city snails but the country ones just laugh.,organic reviews,13.97,5,0,0,0,No,works on city snails but the country ones just laugh.,2022-05-04,10,neutral,,,effective,,0.9649169445037842,,"('', '', 'effective', '', '')"
25,Garden,141488,Corry’s Slug & Snail Killer 3.5lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636434,203636436,Yes,2022-06-22T00:00:00,2022,6,25,"It wasnt a fair fight really, the snails didnt have a chance - there were a lot of em too!",Snails 0 Corrys 10!,organic reviews,13.97,5,0,0,0,No,snails 0 corrys 10!,2022-06-22,4,neutral,cost,efficient,effective,,0.9100446701049805,,"('cost', 'efficient', 'effective', '', '')"
26,Garden,131603,Corry’s Slug & Snail Killer 8lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636415,203636436,Yes,2022-05-26T00:00:00,2022,5,21,I can use for 1 time it all gone. Really...,I can use for 1 time it all gone. Really it is very good.,organic reviews,23.97,5,0,0,0,No,i can use for 1 time it all gone. really it is very good.,2022-05-26,14,positive,,efficient,effective,ease of use,0.9965962767601013,,"('', 'efficient', 'effective', 'ease of use', '')"
27,Garden,2474,Corry’s Slug & Snail Killer 1.75lb,https://www.amazon.com/dp/B001M5CEFQ,Amazon,Corrys,B001M5CEFQ,B001M5CEFQ,No,2021-10-12T00:00:00,2021,10,41,packaging,by the time the pouring spout was opened the opening was torn.what happened to metal spouts??????,organic reviews,7.48,3,0,0,0,No,by the time the pouring spout was opened the opening was torn.what happened to metal spouts??????,2021-10-12,16,negative,,,,,0.4527207016944885,other,"('', '', '', '', 'other')"
28,Garden,150341,Corry’s Slug & Snail Killer 1.75lb,https://www.walmart.com//ip/Corry-s-Ready-to-Use-Pellets-Slug-and-Snail-Killer-1-75-lbs/35610011?selected=true,Walmart,Corrys,35610011,35610011,No,2022-06-07T00:00:00,2022,6,23,Works great,"Worked great, 1 week and no more slugs",organic reviews,7.76,5,0,0,0,No,"worked great, 1 week and no more slugs",2022-06-07,8,positive,,efficient,effective,ease of use,0.9973281025886536,,"('', 'efficient', 'effective', 'ease of use', '')"
29,Garden,140213,Corry’s Slug & Snail Killer 3.5lb,https://www.amazon.com.com/dp/B00CYNH3RE,Amazon,Corrys,B00CYNH3RE,B00CYNH3RE,No,2022-06-14T00:00:00,2022,6,24,Works great,Worked great in our backyard to get rid of slugs in and around the patio.,organic reviews,25.98,5,0,0,0,No,worked great in our backyard to get rid of slugs in and around the patio.,2022-06-14,15,positive,,efficient,effective,ease of use,0.9993768334388733,,"('', 'efficient', 'effective', 'ease of use', '')"
30,Garden,68065,Corry's Moss B Ware 3lb,https://www.walmart.com//ip/Corry-s-Moss-B-Ware-Moss-Killer-Herbicide-3-lb-Shaker/16794595?selected=true,Walmart,Corrys,16794595,16794595,No,2021-06-24T00:00:00,2021,6,25,Easy come easy go,"""This review was collected as part of a promotion, and the opinions are my own."" We love in the Pacific North West on the water Moss can be an issue and this product is amazing.  I am so happy for the opportunity to try it and i will buy it again.  This is better than the other Moss products I have tried. It really works and it is easy to use .",organic reviews,12.88,5,0,0,0,Yes,"""this review was collected as part of a promotion, and the opinions are my own."" we love in the pacific north west on the water moss can be an issue and this product is amazing.  i am so happy for the opportunity to try it and i will buy it again.  this is better than the other moss products i have tried. it really works and it is easy to use .",2021-06-24,74,positive,,efficient,effective,ease of use,0.998491108417511,,"('', 'efficient', 'effective', 'ease of use', '')"
31,Garden,141526,Corry’s Slug & Snail Killer 8lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636415,203636436,Yes,2022-06-16T00:00:00,2022,6,24,All the snails that were eating my plants are dead...,All the snails that were eating my plants are dead now.,organic reviews,23.97,4,0,0,0,No,all the snails that were eating my plants are dead now.,2022-06-16,11,negative,,efficient,effective,,0.9960008263587952,,"('', 'efficient', 'effective', '', '')"
32,Garden,90020,Corry’s Slug & Snail Killer 3.5lb,https://www.amazon.com/dp/B00CYNH3RE,Amazon,Corrys,B00CYNH3RE,B00CYNH3RE,No,2022-04-12T00:00:00,2022,4,15,does not work,This Slug & Snail Killer does not work. I found mold on the product after couple days. Slug are still alive,organic reviews,12.88,3,0,0,0,No,this slug & snail killer does not work. i found mold on the product after couple days. slug are still alive,2022-04-12,21,negative,cost,,,,0.9215360283851624,,"('cost', '', '', '', '')"
33,Garden,77002,Corry’s Slug & Snail Killer 1.75lb,https://www.amazon.com/dp/B001M5CEFQ,Amazon,Corrys,B001M5CEFQ,B001M5CEFQ,No,2022-03-17T00:00:00,2022,3,11,Works!,"Ive used this for the last two years. I barely see any slugs, where they used to decimate some of my veggies prior to using it. Just remember to refresh after rain.",organic reviews,7.76,5,0,0,0,No,"ive used this for the last two years. i barely see any slugs, where they used to decimate some of my veggies prior to using it. just remember to refresh after rain.",2022-03-17,32,neutral,,efficient,effective,ease of use,0.9962332248687744,,"('', 'efficient', 'effective', 'ease of use', '')"
34,Garden,130143,Corry’s Slug & Snail Killer 3.5lb,https://www.amazon.com/dp/B00CYNH3RE,Amazon,Corrys,B00CYNH3RE,B00CYNH3RE,No,2022-05-22T00:00:00,2022,5,20,No more holes!!,THIS STUFF IS AWESOME AND MY HOSTAS ARE BEAUTIFUL NOW!! NO MORE SWISS CHEESE!! I HAVE IT ON SUBSCRIBE AND SAVE....,organic reviews,12.46,5,0,0,0,No,this stuff is awesome and my hostas are beautiful now!! no more swiss cheese!! i have it on subscribe and save....,2022-05-22,21,positive,,efficient,effective,,0.9941726326942444,,"('', 'efficient', 'effective', '', '')"
35,Garden,5264,Corry’s Slug & Snail Killer 3.5lb,https://www.amazon.com/dp/B00CYNH3RE,Amazon,Corrys,B00CYNH3RE,B00CYNH3RE,No,2021-07-04T00:00:00,2021,7,26,It kills slugs dead,"Its funny that the review asks for examples such as ease to use  value for money and flavor. For the record I havent tried to eat slug poison. So I really cant rate the flavor.But it really works well on killing slugs. If you have slugs, and want dead slugs you should buy this.",organic reviews,11.96,5,0,0,3,No,"its funny that the review asks for examples such as ease to use  value for money and flavor. for the record i havent tried to eat slug poison. so i really cant rate the flavor.but it really works well on killing slugs. if you have slugs, and want dead slugs you should buy this.",2021-07-04,55,positive,cost,efficient,effective,ease of use,0.9994432926177979,,"('cost', 'efficient', 'effective', 'ease of use', '')"
36,Garden,75054,Corry’s Slug & Snail Killer 1.75lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636436,203636436,Yes,2022-03-01T00:00:00,2022,3,9,Works fast,"After one application slugs are no where to be found, Great product",organic reviews,7.97,5,0,0,0,No,"after one application slugs are no where to be found, great product",2022-03-01,12,positive,,efficient,effective,ease of use,0.9976730942726135,,"('', 'efficient', 'effective', 'ease of use', '')"
37,Garden,73131,3.5 lbs. Slug and Snail Killer,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636434,203636436,Yes,2022-02-08T00:00:00,2022,2,6,I applied the product just two days ago. I thought...,I applied the product just two days ago. I thought that it would be unreasonable to expect results in that length of time.  Therefore I would prefer to give it a little more time to work before comment on its performance.,organic reviews,11.96,1,0,0,0,No,i applied the product just two days ago. i thought that it would be unreasonable to expect results in that length of time.  therefore i would prefer to give it a little more time to work before comment on its performance.,2022-02-08,42,neutral,,,,,0.48460260033607483,other,"('', '', '', '', 'other')"
38,Garden,72042,Corry’s Slug & Snail Killer 3.5lb,https://www.amazon.com/dp/B00CYNH3RE,Amazon,Corrys,B00CYNH3RE,B00CYNH3RE,No,2022-01-24T00:00:00,2022,1,4,Swells up and looks like mold in soil....even if there is no rain,"This product is cheaper per oz then others. It is not worth using it. It swells from morning dew, looks ugly mold like in soil.",organic reviews,11.96,1,0,0,0,No,"this product is cheaper per oz then others. it is not worth using it. it swells from morning dew, looks ugly mold like in soil.",2022-01-24,25,negative,cost,,,,0.963191032409668,,"('cost', '', '', '', '')"
39,Garden,5346,Corry’s Slug & Snail Killer 3.5lb,https://www.amazon.com/dp/B00CYNH3RE,Amazon,Corrys,B00CYNH3RE,B00CYNH3RE,No,2021-07-28T00:00:00,2021,7,30,Bad quality,Bad quality,organic reviews,11.96,1,0,0,0,No,bad quality,2021-07-28,2,negative,,,,,0.39346814155578613,other,"('', '', '', '', 'other')"
40,Garden,110635,Corry’s Slug & Snail Killer 8lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636415,203636436,Yes,2022-04-27T00:00:00,2022,4,17,Perfect for demolishing snails...,Perfect for demolishing snails,organic reviews,23.97,5,0,0,0,No,perfect for demolishing snails,2022-04-27,4,positive,,efficient,effective,ease of use,0.9993502497673035,,"('', 'efficient', 'effective', 'ease of use', '')"
41,Garden,5402,Corry’s Slug & Snail Killer 3.5lb,https://www.amazon.com/dp/B00CYNH3RE,Amazon,Corrys,B00CYNH3RE,B00CYNH3RE,No,2021-08-06T00:00:00,2021,8,31,We have Giant Slugs,"Ugh, slug.... I put this out around the area where the slugs have been showing up and they are now gone.",organic reviews,11.96,5,0,0,0,No,"ugh, slug.... i put this out around the area where the slugs have been showing up and they are now gone.",2021-08-06,21,negative,,efficient,effective,,0.9975515604019165,,"('', 'efficient', 'effective', '', '')"
42,Garden,14656,Corry’s Slug & Snail Killer 1.75lb,http://www.homedepot.com/p/t/203636436,Homedepot,Corrys,203636436,203636436,Yes,2021-08-14T00:00:00,2021,8,32,This sure gets rid of the snails in our flower...,This sure gets rid of the snails in our flower garden.Works great!,organic reviews,7.64,5,0,0,0,No,this sure gets rid of the snails in our flower garden.works great!,2021-08-14,12,positive,,efficient,effective,,0.9991151690483093,,"('', 'efficient', 'effective', '', '')"
43,Garden,5347,Corry’s Slug & Snail Killer 3.5lb,https://www.amazon.com/dp/B00CYNH3RE,Amazon,Corrys,B00CYNH3RE,B00CYNH3RE,No,2021-06-20T00:00:00,2021,6,24,Gopher food,Flavor?? Well I guess the gophers I feed it to like it. But I never see them after they eat it!!,organic reviews,11.96,5,0,0,0,No,flavor?? well i guess the gophers i feed it to like it. but i never see them after they eat it!!,2021-06-20,21,neutral,,,effective,,0.890347957611084,,"('', '', 'effective', '', '')"
44,Garden,5343,Corry’s Slug & Snail Killer 3.5lb,https://www.amazon.com/dp/B00CYNH3RE,Amazon,Corrys,B00CYNH3RE,B00CYNH3RE,No,2021-07-15T00:00:00,2021,7,28,Works well,This product lasts well even when it rains.,organic reviews,11.96,5,0,0,0,No,this product lasts well even when it rains.,2021-07-15,8,positive,,efficient,effective,,0.9977352619171143,,"('', 'efficient', 'effective', '', '')"
45,Garden,110626,Corry’s Slug & Snail Killer 3.5lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636434,203636436,Yes,2022-04-27T00:00:00,2022,4,17,,Snail problem this year very bad. This product works well and not harmful to pets. You do have to keep applying every 2 weeks.,organic reviews,13.97,5,0,0,0,No,snail problem this year very bad. this product works well and not harmful to pets. you do have to keep applying every 2 weeks.,2022-04-27,24,negative,,efficient,effective,,0.9938583374023438,,"('', 'efficient', 'effective', '', '')"
46,Garden,141468,Corry’s Slug & Snail Killer 1.75lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636436,203636436,Yes,2022-06-15T00:00:00,2022,6,24,I have used this product for years and it is...,I have used this product for years and it is very effective in controlling slugs.,organic reviews,7.97,5,0,0,0,No,i have used this product for years and it is very effective in controlling slugs.,2022-06-15,15,positive,,efficient,effective,,0.9974159598350525,,"('', 'efficient', 'effective', '', '')"
47,Garden,14568,Corry’s Slug & Snail Killer 1.75lb,http://www.homedepot.com/p/t/203636436,Homedepot,Corrys,203636436,203636436,Yes,2021-07-08T00:00:00,2021,7,27,Works like a charm! My peppers were being decimated by...,Works like a charm! My peppers were being decimated by garden slugs and now theyre growing happy and healthy.,organic reviews,7.64,5,0,0,0,No,works like a charm! my peppers were being decimated by garden slugs and now theyre growing happy and healthy.,2021-07-08,19,positive,,efficient,effective,ease of use,0.9982220530509949,,"('', 'efficient', 'effective', 'ease of use', '')"
48,Garden,110629,Corry’s Slug & Snail Killer 8lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636415,203636436,Yes,2022-05-04T00:00:00,2022,5,18,I put 16 pounds around the perimeter of my house...,I put 16 pounds around the perimeter of my house and I havent seen a snail since then.,organic reviews,23.97,5,0,0,0,No,i put 16 pounds around the perimeter of my house and i havent seen a snail since then.,2022-05-04,18,neutral,,efficient,effective,,0.9953711628913879,,"('', 'efficient', 'effective', '', '')"
49,Garden,110608,Corry’s Slug & Snail Killer 1.75lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636436,203636436,Yes,2022-05-05T00:00:00,2022,5,18,Hosta leaves have not been chewed!,"Easy to use product and this box has enough to last through the season.  I purchased it to help prevent slugs from chewing my hosta leaves.  So far, so good!",organic reviews,7.97,5,0,0,0,No,"easy to use product and this box has enough to last through the season.  i purchased it to help prevent slugs from chewing my hosta leaves.  so far, so good!",2022-05-05,32,positive,cost,efficient,effective,ease of use,0.9986212849617004,,"('cost', 'efficient', 'effective', 'ease of use', '')"
50,Garden,72041,Corry’s Slug & Snail Killer 3.5lb,https://www.amazon.com/dp/B00CYNH3RE,Amazon,Corrys,B00CYNH3RE,B00CYNH3RE,No,2022-01-21T00:00:00,2022,1,3,It will kill,Like all pesticides the amount of poison in them are controlled by the feds. So it is not as effective as it use to be but it will work eventually which means you have to buy more and thats money out of your pocket.,organic reviews,11.96,4,0,0,0,No,like all pesticides the amount of poison in them are controlled by the feds. so it is not as effective as it use to be but it will work eventually which means you have to buy more and thats money out of your pocket.,2022-01-21,44,negative,cost,,,,0.9826900959014893,,"('cost', '', '', '', '')"
51,Garden,141503,Corry’s Slug & Snail Killer 8lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636415,203636436,Yes,2022-06-01T00:00:00,2022,6,22,"Doesnt work, looks like more snails were reproduced....","Doesnt work, looks like more snails were reproduced.",organic reviews,23.97,1,0,0,0,No,"doesnt work, looks like more snails were reproduced.",2022-06-01,8,negative,,,,,0.6477600336074829,other,"('', '', '', '', 'other')"
52,Garden,110627,Corry’s Slug & Snail Killer 8lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636415,203636436,Yes,2022-05-04T00:00:00,2022,5,18,Product was out stock...,Product was out stock,organic reviews,23.97,1,0,0,0,No,product was out stock,2022-05-04,4,negative,,,,,0.4351465702056885,other,"('', '', '', '', 'other')"
