,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,word_count,sentiment,cost,ease of use,effective,efficient
17638,Garden,111212,Smart Seed Kentucky Bluegrass Blend 3lb bag,http://www.homedepot.com/p/314933301,Homedepot,Pennington Grass,314933309,314933301,Yes,2022-04-27T00:00:00,2022,4,17,I was not happy with the turnout; the yard looks...,I was not happy with the turnout; the yard looks bad.,organic reviews,19.48,1,0,0,0,No,i was not happy with the turnout; the yard looks bad.,4/27/2022,11,negative,,,1,
5115,Garden,57894,"AMDRO Quick Kill Carpenter Bee, Ant & Termite Killer Foam",https://www.lowes.com/pd/AMDRO-Quick-kill-18-oz-Carpenter-bee-ant-and-termite-killer/5000061775,Lowes,Amdro,5000061775,5000061775,No,2021-08-12T00:00:00,2021,8,32,Best Product,Best Product for Carpenter bees. Way better than any traps.,organic reviews,8.98,5,0,0,0,No,best product for carpenter bees. way better than any traps.,8/12/2021,10,positive,,,1,
13832,Garden,79049,MOSS OUT! For Lawns 20 lb Granules ,http://www.homedepot.com/p/100598516,Homedepot,Moss Out,100598516,100598516,No,2022-04-01T00:00:00,2022,4,13,Id try something els if you have heavy moss,killed a little bit but no where near all of it,organic reviews,19.99,2,0,0,0,No,killed a little bit but no where near all of it,4/1/2022,11,neutral,,,1,
12342,Garden,74257,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 2 cu. ft. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-2-cu-ft-Bag/112134279?selected=true,Walmart,Expert Gardener,112134279,112134279,Yes,2022-02-22T00:00:00,2022,2,8,Top quality potting mix ! for a great price,Purchased this soil to re-plant my indoor house plants. I loved it so much that I decided to go and purchase more to do my outdoor plants as well. all plants are thriving and look great. This is a great potting mix for an even better price.,organic reviews,11.97,5,0,0,0,No,purchased this soil to re-plant my indoor house plants. i loved it so much that i decided to go and purchase more to do my outdoor plants as well. all plants are thriving and look great. this is a great potting mix for an even better price.,2/22/2022,47,positive,1,,1,
14382,Garden,80186,IMAGE Lawn Weed & Crabgrass Killer Concentrate ,http://www.homedepot.com/p/311670269,Homedepot,Image for Weeds,311670295,311670269,Yes,2022-04-10T00:00:00,2022,4,14,Would not purchase again!,"The bottle contains 32 ounces of weed killer, and claims to cover 4,000 square feet, I purchased two bottles for my lawn. Well with in the first 60 seconds of treating my lawn about 80% of the contents of the bottle were gone! This happened with both bottles I purchased. The amount of space covered in that amount of time is very small. Needless to say the areas where all the chemical was dumped in the first 60 seconds was dead including the centipede grass.",organic reviews,13.47,1,0,0,0,No,"the bottle contains 32 ounces of weed killer, and claims to cover 4,000 square feet, i purchased two bottles for my lawn. well with in the first 60 seconds of treating my lawn about 80% of the contents of the bottle were gone! this happened with both bottles i purchased. the amount of space covered in that amount of time is very small. needless to say the areas where all the chemical was dumped in the first 60 seconds was dead including the centipede grass.",4/10/2022,85,negative,,,1,1
1183,Garden,6591,Smart Seed Sun & Shade Mixture 3lb bag,https://www.amazon.com/dp/B08QCRN569,Amazon,Pennington Grass,B08QCRN569,B08QCRN569,Yes,2021-09-26T00:00:00,2021,9,38,Lawn came out very good.,"I live in New England and needed some seed for an area around 18x10 in full sun. Im not an expert so I researched what the different grass seeds were in this product and seemed to fit my needs, the Perennial Ryegrass germinates fast and is good for full sun, the Tall and Fine Fescue also germinates quick and has deep roots that are more heat and drought tolerant, then the Kentucky Bluegrass is good for full sun and is good for spreading out on its own filling in bare spots and self repair.I took the time to prepare the ground, turned it over with a shovel then leveled with a rake, removed all the rocks and roots I could see. Used a hand held spreader to put the seed down, basically eyeing it until it looked like there was a good coverage. Went over it lightly with the rake so the seed was just under the top and tamped it down with the flat side of the rake. Watered daily, just enough to keep the soil damp but avoid runnoff and flooding. After 6 days I had grass growing, and it just took off from there.I have issues with wild animals and cats digging up the yard, the squirrels bury peanuts everywhere that they must be getting from a neighbor feeding them and the cats go to the bathroom, its frustrating, so I laid down a roll of chicken wire fencing I picked up and it worked at keeping everything off while allowing the grass to grow.Very happy with this grass seed, germinated quick and filled in nice. I think the prep work was important, making sure the soil was broken up and covering the seed just under the surface.",organic reviews,9.19,5,0,0,4,No,"i live in new england and needed some seed for an area around 18x10 in full sun. im not an expert so i researched what the different grass seeds were in this product and seemed to fit my needs, the perennial ryegrass germinates fast and is good for full sun, the tall and fine fescue also germinates quick and has deep roots that are more heat and drought tolerant, then the kentucky bluegrass is good for full sun and is good for spreading out on its own filling in bare spots and self repair.i took the time to prepare the ground, turned it over with a shovel then leveled with a rake, removed all the rocks and roots i could see. used a hand held spreader to put the seed down, basically eyeing it until it looked like there was a good coverage. went over it lightly with the rake so the seed was just under the top and tamped it down with the flat side of the rake. watered daily, just enough to keep the soil damp but avoid runnoff and flooding. after 6 days i had grass growing, and it just took off from there.i have issues with wild animals and cats digging up the yard, the squirrels bury peanuts everywhere that they must be getting from a neighbor feeding them and the cats go to the bathroom, its frustrating, so i laid down a roll of chicken wire fencing i picked up and it worked at keeping everything off while allowing the grass to grow.very happy with this grass seed, germinated quick and filled in nice. i think the prep work was important, making sure the soil was broken up and covering the seed just under the surface.",9/26/2021,291,positive,,1,1,1
5954,Garden,65707,"Pennington Smart Patch Tall Fescue Mix, 5 lb",https://www.lowes.com/pd/Pennington-Smart-Patch-Tall-Fescue-5-LB/5005478555,Lowes,Pennington Grass,5005478555,5005478555,Yes,2021-10-21T00:00:00,2021,10,42,Easy to use but no results,[This review was collected as part of a promotion.] This grass seed comes in an easy to pour container. However I followed the instructions and after a week I have not seen any new grass. The bottle says you will see grass sprouts within 5 days.,syndicated reviews,16.98,2,0,0,0,Yes,[this review was collected as part of a promotion.] this grass seed comes in an easy to pour container. however i followed the instructions and after a week i have not seen any new grass. the bottle says you will see grass sprouts within 5 days.,10/21/2021,46,neutral,,1,1,1
16560,Garden,110134,Pennington UltraGreen Weed and Feed 30-0-4,http://www.homedepot.com/p/312265343,Homedepot,Pennington Fertilizer,312265343,312265343,No,2022-05-04T00:00:00,2022,5,18,It doesnt do well with clover. It does do well...,It doesnt do well with clover. It does do well with dandy lions.,organic reviews,22.99,4,0,0,0,No,it doesnt do well with clover. it does do well with dandy lions.,5/4/2022,13,neutral,,,1,
11793,Garden,73456,10 lbs. Wild Bird Seed Food,http://www.homedepot.com/p/312026384,Homedepot,Pennington Bird,312026390,312026384,Yes,2022-02-03T00:00:00,2022,2,5,I opted to have this heavy item brought to my...,"I opted to have this heavy item brought to my car via the pick up option.  The employees that bring your order out are ALWAYS so nice.  Love this feature, as I cannot lift this bag!",organic reviews,9.98,5,0,0,0,No,"i opted to have this heavy item brought to my car via the pick up option.  the employees that bring your order out are always so nice.  love this feature, as i cannot lift this bag!",2/3/2022,38,positive,,1,1,
24526,Garden,140457,AMDRO Mole & Gopher Bait 1lb,http://www.homedepot.com/p/203995618,Homedepot,Amdro,203995618,203995618,No,2022-06-23T00:00:00,2022,6,25,great,"I am using these to take care of some pesky voles. I baited them with apple flavored bait cubes, and they work great.",organic reviews,8.99,4,0,0,0,No,"i am using these to take care of some pesky voles. i baited them with apple flavored bait cubes, and they work great.",6/23/2022,23,positive,,,1,
18316,Garden,111890,"Pennington One Step Complete Grass Seed Patch and Repair, for Sun to Moderate Shade",https://www.walmart.com//ip/Pennington-One-Step-Complete-Grass-Seed-Patch-and-Repair-for-Sun-to-Moderate-Shade-35-lb/564517611?selected=true,Walmart,Pennington Grass,564517611,175149068,Yes,2022-04-26T00:00:00,2022,4,17,Great seed patch and repair mix!,"This patch and repair mix is much better in comparison with other brands that I have purchased. I purchased last year and had success with it. You need to follow the directions as noted, as it will take a few weeks in order for it to produce the results you are looking. The price is good for having all the ingredients in one bag. Great buy!",organic reviews,49.98,4,0,0,0,No,"this patch and repair mix is much better in comparison with other brands that i have purchased. i purchased last year and had success with it. you need to follow the directions as noted, as it will take a few weeks in order for it to produce the results you are looking. the price is good for having all the ingredients in one bag. great buy!",4/26/2022,66,positive,,1,1,
11990,Garden,73653,"Pennington Select Black Oil Sunflower Seed Wild Bird Feed, 10 lb. Bag",https://www.walmart.com//ip/Pennington-Select-Black-Oil-Sunflower-Seed-Wild-Bird-Feed-10-lb-Bag/44496032?selected=true,Walmart,Pennington Bird,44496032,44496032,Yes,2022-02-19T00:00:00,2022,2,7,,Pennington is the best brand for sunflower seeds.,organic reviews,10.92,5,0,0,0,No,pennington is the best brand for sunflower seeds.,2/19/2022,8,positive,,,1,
3743,Garden,37660,Smart Seed Dense Shade Mixture 3lb bag,http://www.homedepot.com/p/t/314933301,Homedepot,Pennington Grass,314933301,314933301,Yes,2021-09-22T00:00:00,2021,9,38,Started very easy and quick...,Started very easy and quick,organic reviews,13.98,5,0,0,0,No,started very easy and quick,9/22/2021,5,positive,,1,,1
9897,Garden,70594,Pennington Wild Bird Food,http://www.homedepot.com/p/312026384,Homedepot,Pennington Bird,312026390,312026384,Yes,2021-12-23T00:00:00,2021,12,51,Good variety of quality seeds...,Good variety of quality seeds,organic reviews,9.98,5,0,0,0,No,good variety of quality seeds,12/23/2021,5,positive,,,1,
7869,Garden,67741,"Eliminator Total Vegetation Killer Herbicide, 1 Gallon Concentrate",https://www.walmart.com//ip/Eliminator-Total-Vegetation-Killer-Herbicide-1-Gallon-Concentrate/669105534?selected=true,Walmart,Eliminator,669105534,935703842,No,2021-10-11T00:00:00,2021,10,41,Great product,The Eliminator vegatation killer works as advertized. I like it.,organic reviews,14.38,5,0,0,0,No,the eliminator vegatation killer works as advertized. i like it.,10/11/2021,10,positive,,,1,
14924,Garden,90208,Kentucky 31 Tall Fescue,http://www.homedepot.com/p/306924565,Homedepot,Pennington Grass,204711452,306924565,Yes,2022-04-13T00:00:00,2022,4,15,"Seed has begun to sprout, still too early to tell....","Seed has begun to sprout, still too early to tell. Weather hasnt exactly been the best",organic reviews,10.82,4,0,0,0,No,"seed has begun to sprout, still too early to tell. weather hasnt exactly been the best",4/13/2022,16,neutral,,,1,1
8272,Garden,68144,Pennington Kentucky Tall Fescue Grass Seed,https://www.walmart.com//ip/Pennington-Kentucky-31-Tall-Fescue-Grass-Seed-5-lbs/39912231?selected=true,Walmart,Pennington Grass,39912231,831091964,Yes,2021-08-10T00:00:00,2021,8,32,,"not sure, did not grow really",organic reviews,10.82,3,0,0,0,No,"not sure, did not grow really",8/10/2021,6,negative,,,1,
19113,Garden,130583,Sevin Ready to Use 5% Dust 1 lb. ,http://www.homedepot.com/p/203027209,Homedepot,GardenTech,203027209,203027209,No,2022-05-16T00:00:00,2022,5,20,Best product,[This review was collected as part of a promotion.] The garden tech se in insect killer dust worked great getting rid of my ant problem in my garden. I will gesture to buy more of this In the future,syndicated reviews,6.27,5,0,0,0,Yes,[this review was collected as part of a promotion.] the garden tech se in insect killer dust worked great getting rid of my ant problem in my garden. i will gesture to buy more of this in the future,5/16/2022,39,positive,,,1,
7329,Garden,67189,Pennington Select Black Oil Sunflower Seed 20lb,https://www.walmart.com//ip/Pennington-Select-Black-Oil-Sunflower-Seed-Wild-Bird-Feed-20-lb-Bag/44496029?selected=true,Walmart,Pennington Bird,44496029,46855890,No,2021-08-21T00:00:00,2021,8,33,Great product,I buy this product for my backyard birds and they love it.,organic reviews,12.26,5,0,0,0,No,i buy this product for my backyard birds and they love it.,8/21/2021,12,positive,,,1,
15351,Garden,90635,Pennington 32oz Triple Trumpet Glass Bottle Hummingbird Feeder,https://www.walmart.com//ip/Pennington-Red-Triple-Trumpet-Glass-Bottle-Hummingbird-Feeder-32-oz/624389694?selected=true,Walmart,Pennington Bird,624389694,624389694,No,2022-04-14T00:00:00,2022,4,15,Nice feeder,Its a very cute design. Wish they had more colors to choose from.,organic reviews,17.96,3,0,0,0,No,its a very cute design. wish they had more colors to choose from.,4/14/2022,13,positive,,,1,
1225,Garden,6653,Smart Seed Sun & Shade Southern Mixture 20lb bag,https://www.amazon.com/dp/B08QCNV9ZV,Amazon,Pennington Grass,B08QCNV9ZV,B08QCS6X98,Yes,2021-07-09T00:00:00,2021,7,27,Wow,Our yard has never looked better. We have large oak trees in our front yard that gives us lots of shade but does not help with the grass. We now have grass even in the shade. Love it!,organic reviews,53.64,5,0,0,1,No,our yard has never looked better. we have large oak trees in our front yard that gives us lots of shade but does not help with the grass. we now have grass even in the shade. love it!,7/9/2021,38,positive,,,1,
19265,Garden,130756,Sevin Insect Killer Ready to Use2 Quart,http://www.homedepot.com/p/317814883,Homedepot,GardenTech,317814883,317814883,No,2022-05-20T00:00:00,2022,5,20,Works well!,[This review was collected as part of a promotion.] I am very happy with the Sevin Insect killer because it actually works! I had a beautiful flower and it was always crawling with bugs so its prettiness never lasted long before it was eaten up and ugly. I wish Id have taken a before picture because it was like night and day after I used the Sevin Insect Killer! I definitely recommend this to anyone having problems with plants that always seem to be eaten up by things.,syndicated reviews,14.97,5,1,0,0,Yes,[this review was collected as part of a promotion.] i am very happy with the sevin insect killer because it actually works! i had a beautiful flower and it was always crawling with bugs so its prettiness never lasted long before it was eaten up and ugly. i wish id have taken a before picture because it was like night and day after i used the sevin insect killer! i definitely recommend this to anyone having problems with plants that always seem to be eaten up by things.,5/20/2022,88,positive,,,1,1
12046,Garden,73709,"Pennington High Energy Nut & Fruit Blend, Wild Bird Seed, 5 lbs.",https://www.walmart.com//ip/Pennington-High-Energy-Nut-Fruit-Blend-Wild-Bird-Seed-5-lbs/300120465?selected=true,Walmart,Pennington Bird,300120465,300120465,Yes,2022-02-15T00:00:00,2022,2,7,,My birds love this mixture!!,organic reviews,10.27,5,0,0,0,No,my birds love this mixture!!,2/15/2022,5,positive,,,1,
26274,Garden,142206,IMAGE Lawn Weed & Crabgrass Killer Concentrate ,http://www.homedepot.com/p/311670269,Homedepot,Image for Weeds,311670295,311670269,Yes,2022-06-29T00:00:00,2022,6,26,Works Well and Kills Weeds Fast,"[This review was collected as part of a promotion.] First off, this product is really easy to use - just attach and spray. I used this on a few patches of weeds throughout my yard and it seemed to affect them pretty quickly. Be careful if youre in really hot areas like I am in Texas - you need to apply it in the early morning before the temperatures climb. Overall, Id say this simple product works and I would recommend using it!",syndicated reviews,13.47,4,0,0,0,Yes,"[this review was collected as part of a promotion.] first off, this product is really easy to use - just attach and spray. i used this on a few patches of weeds throughout my yard and it seemed to affect them pretty quickly. be careful if youre in really hot areas like i am in texas - you need to apply it in the early morning before the temperatures climb. overall, id say this simple product works and i would recommend using it!",6/29/2022,83,positive,,1,1,
2216,Garden,18606,"AMDRO Quick Kill Carpenter Bee, Ant & Termite Killer Concentrate 32oz",http://www.homedepot.com/p/t/305448729,Homedepot,Amdro,305448729,305448729,Yes,2021-07-09T00:00:00,2021,7,27,"Best product for my situation with my carpenter bees, last...","Best product for my situation with my carpenter bees, last a long time before I have to reapply.",organic reviews,14.91,5,0,0,0,No,"best product for my situation with my carpenter bees, last a long time before i have to reapply.",7/9/2021,18,positive,,,1,1
15451,Garden,100046,Pennington Seed Starter Mat,http://www.homedepot.com/p/100662155,Homedepot,Pennington Grass,100662155,100662155,No,2022-04-19T00:00:00,2022,4,16,This Fabric is so thin the wind will tear it...,This Fabric is so thin the wind will tear it and the birds will tear through it to eat the grass seed  i put  out..,organic reviews,21.99,1,0,0,0,No,this fabric is so thin the wind will tear it and the birds will tear through it to eat the grass seed  i put  out..,4/19/2022,27,negative,,,,1
16099,Garden,100694,"Pennington Smart Patch Bermudagrass Mix, 5 lb Jug",https://www.lowes.com/pd/Pennington-Smart-Patch-Bermuda-5-LB/5005478639,Lowes,Pennington Grass,5005478639,5005478639,Yes,2022-04-23T00:00:00,2022,4,16,Decent results,[This review was collected as part of a promotion.] So far we have had pretty decent success with some bare spots we needed to fix. The only thing we didnt like was that we couldnt really tell where the seed is actually going so some spots didnt have much growing there. We like that it stayed put once its watered as well.,syndicated reviews,11.98,4,0,0,0,Yes,[this review was collected as part of a promotion.] so far we have had pretty decent success with some bare spots we needed to fix. the only thing we didnt like was that we couldnt really tell where the seed is actually going so some spots didnt have much growing there. we like that it stayed put once its watered as well.,4/23/2022,62,positive,,,1,
17110,Garden,110684,IMAGE Lawn Weed & Crabgrass Killer Concentrate ,http://www.homedepot.com/p/311670269,Homedepot,Image for Weeds,311670295,311670269,Yes,2022-05-04T00:00:00,2022,5,18,This worked really well!...,This worked really well!,organic reviews,13.47,5,0,0,0,No,this worked really well!,5/4/2022,4,positive,,,1,
1005,Garden,6317,Lawn Booster Sun & Shade 9.6lb bag,https://www.amazon.com/dp/B084NMGHK7,Amazon,Pennington Grass,B084NMGHK7,B084NMGHK7,No,2021-10-06T00:00:00,2021,10,40,It doesnt grow anything,I spread 2 bags over a lightly grassy area of about 700sq ft. And it didnt do anything. That was supposed to be enough for 2400sq ft. Its a bunch of green bird feed.,organic reviews,15.88,1,0,0,0,No,i spread 2 bags over a lightly grassy area of about 700sq ft. and it didnt do anything. that was supposed to be enough for 2400sq ft. its a bunch of green bird feed.,10/6/2021,34,negative,,,1,1
16749,Garden,110323,"Pennington Smart Patch Dense Shade Mix, 5 lb Jug",http://www.homedepot.com/p/317713416,Homedepot,Pennington Grass,317713426,317713416,Yes,2022-05-03T00:00:00,2022,5,18,Works in 7-8 days,"I got this Pennington 10 lbs. Smart Patch Dense Shade Grass Seed with Mulch, Fertilizer to fill in some bare spots under my huge maple tree. Bag states growth in 5 days and I started seeing growth in 7-8 days. Ive followed all directions. Kept mulch moist watering 2 times a day. Mulch turns a lighter color when ready to be watered. Hopefully it will meet the full growth in 14 days but Im thinking probably closer to 20 days. The mulch and fertilizer work well. I would recommend tapping down the mulch and seed after first placed because the seeds on top seem to move around a lot when watering. The areas I filled in are in more shade than sun and so far its growing. Only time will tell how well this product works but for now I recommend.",organic reviews,0,4,4,0,0,No,"i got this pennington 10 lbs. smart patch dense shade grass seed with mulch, fertilizer to fill in some bare spots under my huge maple tree. bag states growth in 5 days and i started seeing growth in 7-8 days. ive followed all directions. kept mulch moist watering 2 times a day. mulch turns a lighter color when ready to be watered. hopefully it will meet the full growth in 14 days but im thinking probably closer to 20 days. the mulch and fertilizer work well. i would recommend tapping down the mulch and seed after first placed because the seeds on top seem to move around a lot when watering. the areas i filled in are in more shade than sun and so far its growing. only time will tell how well this product works but for now i recommend.",5/3/2022,141,neutral,,1,1,
27777,Garden,143711,Ironite Mineral Supplement 1-0-0 1 15 lbs.,https://www.lowes.com/pd/Ironite-Ironite-1-0-0/5012913023,Lowes,Pennington Fertilizer,5012913023,5012913023,No,2022-06-18T00:00:00,2022,6,24,Mineral supplements,[This review was collected as part of a promotion.] I love it it keeps my garden looking brand new.and it keeps my pets from trying to get in my garden,syndicated reviews,19.98,5,0,0,0,Yes,[this review was collected as part of a promotion.] i love it it keeps my garden looking brand new.and it keeps my pets from trying to get in my garden,6/18/2022,30,positive,,,1,
18977,Garden,130435,Sevin Ready to Use 5% Dust 1 lb. ,http://www.homedepot.com/p/203027209,Homedepot,GardenTech,203027209,203027209,No,2022-05-15T00:00:00,2022,5,19,Garden must have,[This review was collected as part of a promotion.] This sevin dust works great. I used it on a small lemon tree that was losing leaves due to an insect. I dusted it and within a week it had new leaves appearing. Works great on flowers infected with afids. All garden plants and I even dust my chicken nesting boxes to control mites. I definitely recommend this product.,syndicated reviews,6.27,5,1,0,0,Yes,[this review was collected as part of a promotion.] this sevin dust works great. i used it on a small lemon tree that was losing leaves due to an insect. i dusted it and within a week it had new leaves appearing. works great on flowers infected with afids. all garden plants and i even dust my chicken nesting boxes to control mites. i definitely recommend this product.,5/15/2022,68,positive,,1,1,1
