,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,word_count,sentiment,cost,ease of use,effective,efficient,sentiment_m,cost_m,efficient_m,effective_m,ease of use_m,naive_cost,naive_efficient,naive_effective,naive_easeofuse
10,Garden,146,AMDRO Fire Ant Bait 1lb,https://www.amazon.com/dp/B000HJDG0U,Amazon,Amdro,B000HJDG0U,B000HJDG0U,No,2021-09-14T00:00:00,2021,9,37,Always works,"Not sure what it is about my yard and like so much, but I battle them 75% of ever year.Amdro is one of my go to weapons. They think its food and take it home to the queen, killing off the colony.Works great on several want types. I only wish it worked on them all.But totally worth it.",organic reviews,12.48,5,0,0,0,No,"not sure what it is about my yard and like so much, but i battle them 75% of ever year.amdro is one of my go to weapons. they think its food and take it home to the queen, killing off the colony.works great on several want types. i only wish it worked on them all.but totally worth it.",9/14/2021,58,1,0,1,0,0,1,0,0,1,0,0,0,0,0
11,Garden,158,AMDRO Fire Ant Bait 1lb,https://www.amazon.com/dp/B000HJDG0U,Amazon,Amdro,B000HJDG0U,B000HJDG0U,No,2021-09-01T00:00:00,2021,9,35,Works great!,"Ants love it and think its a prize they carry into their hole. Within a few days they are gone! With an abnormally large colony you may have to apply 2-3 times. Ants still love it though, even after being exposed once or twice.",organic reviews,12.48,5,0,0,0,No,"ants love it and think its a prize they carry into their hole. within a few days they are gone! with an abnormally large colony you may have to apply 2-3 times. ants still love it though, even after being exposed once or twice.",9/1/2021,44,1,0,0,1,0,1,1,0,1,0,0,0,0,0
12,Garden,162,AMDRO Fire Ant Bait 1lb,https://www.amazon.com/dp/B000HJDG0U,Amazon,Amdro,B000HJDG0U,B000HJDG0U,No,2021-06-04T00:00:00,2021,6,22,Works,Works for me after one application.,organic reviews,12.48,5,0,0,0,No,works for me after one application.,6/4/2021,6,1,0,0,0,1,0,0,1,1,1,0,0,0,0
13,Garden,180,AMDRO Fire Ant Bait 1lb,https://www.amazon.com/dp/B000HJDG0U,Amazon,Amdro,B000HJDG0U,B000HJDG0U,No,2021-09-05T00:00:00,2021,9,35,Works!!,Worked great. Ants gone the next day.,organic reviews,12.48,5,0,0,0,No,worked great. ants gone the next day.,9/5/2021,7,1,0,0,1,1,1,0,1,1,1,0,0,0,0
14,Garden,186,AMDRO Fire Ant Bait 1lb,https://www.amazon.com/dp/B000HJDG0U,Amazon,Amdro,B000HJDG0U,B000HJDG0U,No,2021-11-23T00:00:00,2021,11,47,Price,It works!,organic reviews,12.48,5,0,0,0,No,it works!,11/23/2021,2,1,0,0,1,0,1,0,1,1,1,0,0,0,0
15,Garden,196,AMDRO Fire Ant Bait 1lb,https://www.amazon.com/dp/B000HJDG0U,Amazon,Amdro,B000HJDG0U,B000HJDG0U,No,2021-11-03T00:00:00,2021,11,44,Great product when used correctly,"I use this all year round here in the south. Fire Ants are a part of life here, and this product works wonders at keeping the painful little #@%*s out of my lawn! If you discover a new mound sprinkle this around the outer edges, as per directions, and walk away. Do not apply water like you would with other products. The fire Ant foraging crew will find this, collect it, and bring it back to the colony. Once there it gets placed into the colonies food storage and starts being consumed in short order. Depending on the size of the mound it can take several days to work its majic, so be patient. Ive seen mounds die within as little as a 24 hours if theyre new, and as long as a week if its a really big established colony. Again, be patient. This product will provide a very thorough kill. **Read the cautions on the label regarding application and amount to use.** This shouldnt be used if pets can access the treated area directly after application. In the warmer months I personally treat in early evening because, in my experience, most of the bait has been collected by the colony before the next morning. Unlike some of the other treatments available, this product doesnt have a strong toxic smell, but it works!",organic reviews,12.48,5,0,0,0,No,"i use this all year round here in the south. fire ants are a part of life here, and this product works wonders at keeping the painful little #@%*s out of my lawn! if you discover a new mound sprinkle this around the outer edges, as per directions, and walk away. do not apply water like you would with other products. the fire ant foraging crew will find this, collect it, and bring it back to the colony. once there it gets placed into the colonies food storage and starts being consumed in short order. depending on the size of the mound it can take several days to work its majic, so be patient. ive seen mounds die within as little as a 24 hours if theyre new, and as long as a week if its a really big established colony. again, be patient. this product will provide a very thorough kill. **read the cautions on the label regarding application and amount to use.** this shouldnt be used if pets can access the treated area directly after application. in the warmer months i personally treat in early evening because, in my experience, most of the bait has been collected by the colony before the next morning. unlike some of the other treatments available, this product doesnt have a strong toxic smell, but it works!",11/3/2021,224,1,0,1,1,0,1,1,1,1,1,0,0,0,0
16,Garden,206,AMDRO Fire Ant Bait 1lb,https://www.amazon.com/dp/B000HJDG0U,Amazon,Amdro,B000HJDG0U,B000HJDG0U,No,2021-06-19T00:00:00,2021,6,24,Gone!,One application and ants are gone!,organic reviews,12.48,5,0,0,0,No,one application and ants are gone!,6/19/2021,6,1,0,0,0,1,-1,0,1,1,1,0,0,0,0
17,Garden,209,AMDRO Fire Ant Bait 1lb,https://www.amazon.com/dp/B000HJDG0U,Amazon,Amdro,B000HJDG0U,B000HJDG0U,No,2021-10-20T00:00:00,2021,10,42,Great,Works great and kills all the red ants,organic reviews,12.48,5,0,0,0,No,works great and kills all the red ants,10/20/2021,8,1,0,0,1,0,1,0,1,1,0,0,0,0,0
18,Garden,221,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-06-01T00:00:00,2021,6,22,Ants love it!,"My ants seemed hungry, so I gave them some of these ant treats. They mustve enjoyed it because they now stay in their little ant holes satisfied, not always searching for food like in the past.",organic reviews,20.59,5,0,0,0,No,"my ants seemed hungry, so i gave them some of these ant treats. they mustve enjoyed it because they now stay in their little ant holes satisfied, not always searching for food like in the past.",6/1/2021,36,1,0,0,1,0,1,0,1,1,0,0,0,0,0
19,Garden,244,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-06-13T00:00:00,2021,6,23,Very Effective for Harvester Ants,Actually kills Harvester Ants! We have struggled with massive colonies all over our pasture in Texas. Tried many types of ant killers. This thing can knock out even our mega-colonies surprisingly fast. This is now a staple.,organic reviews,20.59,5,0,0,0,No,actually kills harvester ants! we have struggled with massive colonies all over our pasture in texas. tried many types of ant killers. this thing can knock out even our mega-colonies surprisingly fast. this is now a staple.,6/13/2021,37,1,0,0,1,1,-1,1,1,1,0,0,0,0,0
20,Garden,254,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-07-20T00:00:00,2021,7,29,Works!,This stuff works! The ants immediatly start taking the bait to the queen.,organic reviews,20.59,5,0,0,0,No,this stuff works! the ants immediatly start taking the bait to the queen.,7/20/2021,13,1,0,0,1,1,1,0,1,1,1,0,0,0,0
21,Garden,257,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-11-07T00:00:00,2021,11,44,The Ants Die,"The product arrived on time and was packed well. It was easy to disperse over the fire ant beds. I cant say much about the smell because, lets be honest, I dont go around sniffing ant killer. It made the ants die. Thats the most important part. If youve never encountered fire ants in the state of Texas, then you do not realize that they were created by Satan for the sole purpose of torturing men and women. They are tiny demons with death in their mouths. They deserve to die each and every time!",organic reviews,20.59,4,0,0,0,No,"the product arrived on time and was packed well. it was easy to disperse over the fire ant beds. i cant say much about the smell because, lets be honest, i dont go around sniffing ant killer. it made the ants die. thats the most important part. if youve never encountered fire ants in the state of texas, then you do not realize that they were created by satan for the sole purpose of torturing men and women. they are tiny demons with death in their mouths. they deserve to die each and every time!",11/7/2021,95,1,0,1,1,0,1,1,1,1,1,0,0,0,0
22,Garden,266,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-06-03T00:00:00,2021,6,22,,"Very fast shipping, the product is very good. Thank you",organic reviews,20.59,5,0,0,0,No,"very fast shipping, the product is very good. thank you",6/3/2021,10,1,0,0,1,1,1,0,1,1,0,0,0,0,0
23,Garden,273,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-10-06T00:00:00,2021,10,40,Would not recommend purchasing online for this,The seal is tampered and the box only contains less than half of the stuff.,organic reviews,20.59,1,0,0,0,No,the seal is tampered and the box only contains less than half of the stuff.,10/6/2021,15,-1,1,0,0,1,-1,0,0,1,0,0,0,0,0
24,Garden,286,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-08-31T00:00:00,2021,8,35,Use in dry conditions,"This stuff always works for fire ants,ants are gone the very next day!even if there are three gaint ant hills next to each other,ants gone next day.",organic reviews,20.59,5,0,0,0,No,"this stuff always works for fire ants,ants are gone the very next day!even if there are three gaint ant hills next to each other,ants gone next day.",8/31/2021,27,1,0,0,1,1,-1,0,1,1,1,0,0,0,0
25,Garden,299,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-06-17T00:00:00,2021,6,24,It works fast,"Honestly, I think this is the best fire ant killer on the market.",organic reviews,20.59,5,0,0,0,No,"honestly, i think this is the best fire ant killer on the market.",6/17/2021,13,1,0,0,1,0,1,0,1,1,1,0,0,0,0
26,Garden,318,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-08-11T00:00:00,2021,8,32,Have purchased this product 3 times. Will purchase when needed.,"Amdro works! Kills fire ants. May need to use multiple times if very large mound,but will eradicate completely!",organic reviews,20.59,5,0,0,0,No,"amdro works! kills fire ants. may need to use multiple times if very large mound,but will eradicate completely!",8/11/2021,18,0,0,1,1,0,1,0,1,1,0,0,0,0,0
27,Garden,324,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-10-14T00:00:00,2021,10,41,Bye bye red ants.,Love how quickly and easily this product eliminated all the fire ants I had in my front and back yards. The fact that it isnt toxic to my dogs made it priceless to me. Worked so quickly.,organic reviews,20.59,5,0,0,0,No,love how quickly and easily this product eliminated all the fire ants i had in my front and back yards. the fact that it isnt toxic to my dogs made it priceless to me. worked so quickly.,10/14/2021,37,1,0,1,1,1,1,1,1,1,1,0,0,0,0
28,Garden,336,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-11-25T00:00:00,2021,11,47,Great Product- It worked,"Why is scent a ratable item for fire ant bait? I dont want to give it 5 stars, but I dont want to give it one either. This stuff works. Nuff said.",organic reviews,20.59,5,0,0,0,No,"why is scent a ratable item for fire ant bait? i dont want to give it 5 stars, but i dont want to give it one either. this stuff works. nuff said.",11/25/2021,32,1,0,0,1,0,-1,0,0,1,0,0,0,0,0
29,Garden,337,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-07-02T00:00:00,2021,7,26,It works!,It works for fire ants! What more can I say?,organic reviews,20.59,5,0,0,0,No,it works for fire ants! what more can i say?,7/2/2021,10,1,0,0,1,0,1,0,1,1,1,0,0,0,0
30,Garden,340,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-09-17T00:00:00,2021,9,37,Didnt work at all,We live in the south where ant mounds are prevalent. I treated several mounds 4 times and still didnt work. Wouldnt recommend this product.,organic reviews,20.59,1,0,0,0,No,we live in the south where ant mounds are prevalent. i treated several mounds 4 times and still didnt work. wouldnt recommend this product.,9/17/2021,24,-1,0,0,1,1,-1,1,0,0,0,0,0,0,0
31,Garden,345,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-08-18T00:00:00,2021,8,33,Good,Works great,organic reviews,20.59,5,0,0,0,No,works great,8/18/2021,2,1,0,0,1,0,1,0,1,1,1,0,0,0,0
32,Garden,346,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-09-13T00:00:00,2021,9,37,Kills those  Ants the First Time!!,"I ordered this after being attacked by fire ants. I pay attention when walking my dog, and at the first sign of a new nest, I just shake a little of these granules on the top of the mound and they are all gone by the next day!!",organic reviews,20.59,5,0,0,0,No,"i ordered this after being attacked by fire ants. i pay attention when walking my dog, and at the first sign of a new nest, i just shake a little of these granules on the top of the mound and they are all gone by the next day!!",9/13/2021,48,1,0,1,1,1,0,1,1,1,1,0,0,0,0
33,Garden,348,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-11-17T00:00:00,2021,11,46,"Bye, bye Ants",Read directions and you have the best to combat ants. Worth the cost.,organic reviews,20.59,5,0,0,0,No,read directions and you have the best to combat ants. worth the cost.,11/17/2021,13,1,1,1,1,0,1,1,1,1,1,0,0,0,0
34,Garden,354,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-10-19T00:00:00,2021,10,42,Kills almost every type of ant.,A few ant did not die quickly.,organic reviews,20.59,5,0,0,0,No,a few ant did not die quickly.,10/19/2021,7,-1,0,0,1,1,0,0,0,0,0,0,0,0,0
35,Garden,355,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-08-02T00:00:00,2021,8,31,Easy to apply,Easy to use with a fertilizer spreader.,organic reviews,20.59,5,0,0,0,No,easy to use with a fertilizer spreader.,8/2/2021,7,1,0,1,0,0,1,0,1,1,1,0,0,0,0
36,Garden,361,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-08-11T00:00:00,2021,8,32,Rid those ANTS now,Great product,organic reviews,20.59,5,0,0,0,No,great product,8/11/2021,2,1,0,0,1,0,1,0,1,1,1,0,0,0,0
37,Garden,371,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-06-11T00:00:00,2021,6,23,"Does it job, but it takes about a day to see results","It depends on what time/weather condition that determine how effective this is gonna be. I sprinkle in the morning lightly on top of the mold and around the perimeter. I can see ants grabbing small pieces and bring it down their nest!Usually it took about 1-2 days to actually stop seeing ants. And then the earth just become flat again.It does work, and doesnt need a bunch/use",organic reviews,20.59,5,0,0,0,No,"it depends on what time/weather condition that determine how effective this is gonna be. i sprinkle in the morning lightly on top of the mold and around the perimeter. i can see ants grabbing small pieces and bring it down their nest!usually it took about 1-2 days to actually stop seeing ants. and then the earth just become flat again.it does work, and doesnt need a bunch/use",6/11/2021,67,1,0,0,1,1,0,0,1,1,0,0,0,0,0
38,Garden,384,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-07-26T00:00:00,2021,7,30,Fire ant bait,Works well I had ant beds all throughout my yard a great buy,organic reviews,20.59,5,0,0,0,No,works well i had ant beds all throughout my yard a great buy,7/26/2021,13,1,0,0,1,0,1,1,1,1,1,0,0,0,0
39,Garden,387,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-11-04T00:00:00,2021,11,44,It works.,Ive used this for years. I have tried so many other types over the years but this one truly works. It may take a couple of weeks for large mounds to completely die but they do die.,organic reviews,20.59,5,0,0,0,No,ive used this for years. i have tried so many other types over the years but this one truly works. it may take a couple of weeks for large mounds to completely die but they do die.,11/4/2021,37,0,0,0,1,1,1,0,1,1,1,0,0,0,0
40,Garden,388,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-09-04T00:00:00,2021,9,35,Great ant killer,"Amdro is a great fireant killer, only a little will eliminate a colony. Follow diections!",organic reviews,20.59,5,0,0,0,No,"amdro is a great fireant killer, only a little will eliminate a colony. follow diections!",9/4/2021,15,1,0,1,1,1,-1,0,1,1,0,0,0,0,0
41,Garden,389,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-07-15T00:00:00,2021,7,28,Used for many years,"Started using this years ago when my spouse told me that it is what is used by the farmers he works for in California. The farm fields have many issues with ants, and they dont want them destroying the crops, so they use this, it works great and you only need a little bit.",organic reviews,20.59,5,0,0,0,No,"started using this years ago when my spouse told me that it is what is used by the farmers he works for in california. the farm fields have many issues with ants, and they dont want them destroying the crops, so they use this, it works great and you only need a little bit.",7/15/2021,54,1,0,0,1,1,1,0,1,1,1,0,0,0,0
42,Garden,393,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-10-23T00:00:00,2021,10,42,It Works,"We have been using Amdro for about 15 years. We normally buy it in a local big box store, but all are out of supply so we bought it am Amazon.",organic reviews,20.59,5,0,0,0,No,"we have been using amdro for about 15 years. we normally buy it in a local big box store, but all are out of supply so we bought it am amazon.",10/23/2021,31,1,0,0,1,0,0,1,0,1,0,0,0,0,0
43,Garden,403,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-11-03T00:00:00,2021,11,44,Fire ants are gone.,"I live on 2 acres, use this product to control fire ants. Works good but takes a while. The hill is gone, doesnt just move them around.",organic reviews,20.59,5,0,0,0,No,"i live on 2 acres, use this product to control fire ants. works good but takes a while. the hill is gone, doesnt just move them around.",11/3/2021,27,0,0,0,1,1,0,0,0,1,0,0,0,0,0
44,Garden,406,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-09-25T00:00:00,2021,9,38,"It works!!! I had multiple fire ant mounds taking over ,applied liberally & in 3 days BAM gone!",A product that works fast with an Easy to use shaker opening. If they ever move back I know I will use this product again. Highly recommend !,organic reviews,20.59,5,0,0,0,No,a product that works fast with an easy to use shaker opening. if they ever move back i know i will use this product again. highly recommend !,9/25/2021,28,1,0,1,1,1,1,0,1,1,1,0,0,0,0
45,Garden,408,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-08-22T00:00:00,2021,8,33,Super awesome ant killer,"This stuff is candy to ants. Ive got some property and use hotshot pest control around structures for spiders and ants. But this stuff is little sugar pellets that the ants carry underground and boy is it gone fast. I sprinkle all around the holes and its gone within hours. Occasionally, itll need a second dose but they just carry it off again. Been using it here and there as im conservative with posions, and my ant nests are disappearing. It was perfect timing i discovered this stuff as this year as been particularly bad with many type of ants. Big ugle ones, tiny little red ones and the multicolored, they all love it and disappear quickly! Im so thankful i did some reading when i got into and ant pile while washing my car awhile back, biy am I illergic to them, this stuff is a necessity if you have ants ",organic reviews,20.59,5,0,0,1,No,"this stuff is candy to ants. ive got some property and use hotshot pest control around structures for spiders and ants. but this stuff is little sugar pellets that the ants carry underground and boy is it gone fast. i sprinkle all around the holes and its gone within hours. occasionally, itll need a second dose but they just carry it off again. been using it here and there as im conservative with posions, and my ant nests are disappearing. it was perfect timing i discovered this stuff as this year as been particularly bad with many type of ants. big ugle ones, tiny little red ones and the multicolored, they all love it and disappear quickly! im so thankful i did some reading when i got into and ant pile while washing my car awhile back, biy am i illergic to them, this stuff is a necessity if you have ants ",8/22/2021,152,1,0,0,1,1,-1,1,1,1,1,0,0,0,0
46,Garden,409,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-11-24T00:00:00,2021,11,47,This Stuff Works,Been using it for years. Works so well it will probably be taken off the market soon.,organic reviews,20.59,5,0,0,0,No,been using it for years. works so well it will probably be taken off the market soon.,11/24/2021,17,1,0,0,1,0,1,0,1,1,1,0,0,0,0
47,Garden,414,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-11-26T00:00:00,2021,11,47,Have used this for years with great results.,Usually buy the at our local big-box hardware store but ordered through Amazon. Speedy delivery at a fair price. Does a great job of controlling fire ants here in Texas.,organic reviews,20.59,4,0,0,0,No,usually buy the at our local big-box hardware store but ordered through amazon. speedy delivery at a fair price. does a great job of controlling fire ants here in texas.,11/26/2021,30,1,1,0,1,0,1,1,1,1,0,0,0,0,0
48,Garden,423,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-10-06T00:00:00,2021,10,40,Good buy.,Watch out ants!,organic reviews,20.59,5,0,0,0,No,watch out ants!,10/6/2021,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0
49,Garden,426,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-06-07T00:00:00,2021,6,23,Works great,Takes a week or 2 and have applied twice to larger mounds. Use at first sign of mounds in spring to control all season,organic reviews,20.59,5,0,0,0,No,takes a week or 2 and have applied twice to larger mounds. use at first sign of mounds in spring to control all season,6/7/2021,24,0,0,0,1,1,0,0,1,1,1,0,0,0,0
