,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,word_count,sentiment,efficient,effective,cost,ease of use,sentiment_m,cost_m,efficient_m,effective_m,ease of use_m,max,align_type,other_m
10,Garden,140427,MOSS OUT! For Lawns 40 lb Granules,http://www.homedepot.com/p/100598516,Homedepot,MossOut,204766696,100598516,Yes,2022-06-01 0:00:00,2022,6,22,"No , very disappointed. I put heavy setting and did...","No , very disappointed. I put heavy setting and did twice and still have moss.  Should change bag name to Moss Out sometimes ",organic reviews,22.48,1,0,0,0,No,"no , very disappointed. i put heavy setting and did twice and still have moss.  should change bag name to moss out sometimes ",2022-06-01,24,Negative,0.0,0.0,0.0,0.0,negative,,,,,0.6385379433631897,"('', '', '', '', 'cost')",other
11,Garden,70194,MOSS OUT! Plus Fertilizer For Lawns 20-0-5 20 lb Granules,https://www.homedepot.com/p/Moss-Out-20-lbs-Moss-Out-Moss-Killer-Plus-Fertilizer-20-0-5-100508946/203419243,Homedepot,MossOut,203419243,203419243,No,2021-12-11 0:00:00,2021,12,49,too soon to tell,[This review was collected as part of a promotion.] It is easy to apply but still too soon to see if it is making a difference. Will have to wait and see if this helps with the mossy part of our lawn.,syndicated reviews,18.48,4,0,0,0,Yes,[this review was collected as part of a promotion.] it is easy to apply but still too soon to see if it is making a difference. will have to wait and see if this helps with the mossy part of our lawn.,2021-12-11,42,Neutral,0.0,0.0,0.0,0.0,neutral,,efficient,,ease of use,0.9955225586891174,"('', 'efficient', '', 'ease of use', 'ease of use')",
12,Garden,1840,MOSS OUT! For Roofs & Walks 27 oz. Ready To Spray,https://www.amazon.com/dp/B000SKZ1QK,Amazon,MossOut,B000SKZ1QK,B000SKZ1QK,No,2021-06-01 0:00:00,2021,6,22,Poor spray mechanism,"Seemed to be effective against moss. However, the delivery method or design of it was pathetic. It could barely spray out the chemical leaving weak stream and the job overall harder than it should have been.",organic reviews,0.0,3,0,0,0,No,"seemed to be effective against moss. however, the delivery method or design of it was pathetic. it could barely spray out the chemical leaving weak stream and the job overall harder than it should have been.",2021-06-01,36,Neutral,0.0,1.0,0.0,0.0,negative,,,effective,,0.9449961185455322,"('', '', 'effective', '', 'effective')",
13,Garden,786,MOSS OUT! For Lawns 20 lb Granules,https://www.amazon.com/dp/B0015HZIT0,Amazon,MossOut,B0015HZIT0,B0015HZIT0,No,2021-06-05 0:00:00,2021,6,22,Just tossed it by hand and left. Moss died and I raked it out.,works great!,organic reviews,14.97,5,0,0,0,No,works great!,2021-06-05,2,Positive,0.0,1.0,0.0,0.0,positive,,efficient,effective,ease of use,0.9985079169273376,"('', 'efficient', 'effective', 'ease of use', 'effective')",
14,Garden,72084,MOSS OUT! Plus Fertilizer For Lawns 20-0-5 20 lb Granules,http://www.homedepot.com/p/203419243,Homedepot,MossOut,203419243,203419243,No,2022-01-11 0:00:00,2022,1,2,good,"[This review was collected as part of a promotion.] I tried this product it seem to make a difference its pretty good I would buy again and recommend it to other people. its a good product , first time trying something like this , saw a different in moss grow over the weeks",syndicated reviews,18.48,4,0,0,0,Yes,"[this review was collected as part of a promotion.] i tried this product it seem to make a difference its pretty good i would buy again and recommend it to other people. its a good product , first time trying something like this , saw a different in moss grow over the weeks",2022-01-11,53,Positive,0.0,1.0,0.0,0.0,positive,,efficient,effective,ease of use,0.9976344108581543,"('', 'efficient', 'effective', 'ease of use', 'effective')",
15,Garden,130329,MOSS OUT! For Lawns 40 lb Granules,http://www.homedepot.com/p/100598516,Homedepot,MossOut,204766696,100598516,Yes,2022-05-12 0:00:00,2022,5,19,"I applied it twice, both times at much higher rate...","I applied it twice, both times at much higher rate than suggested on the bag. After 2 weeks, in the best case it browned some of the moss, but not fully killed it. In the worst case, it essentially made no impact. I dont recommend this product.",organic reviews,22.48,1,0,0,0,No,"i applied it twice, both times at much higher rate than suggested on the bag. after 2 weeks, in the best case it browned some of the moss, but not fully killed it. in the worst case, it essentially made no impact. i dont recommend this product.",2022-05-12,47,Negative,0.0,0.0,0.0,0.0,negative,cost,,,,0.8236152529716492,"('cost', '', '', '', 'cost')",
16,Garden,70109,MOSS OUT! For Roofs & Walks Concentrate 54oz,http://www.homedepot.com/p/100598510,Homedepot,MossOut,100598510,100598510,No,2021-12-29 0:00:00,2021,12,52,It seems to work!,[This review was collected as part of a promotion.] I received this product free to try and give my honest review. I used this on parts of my driveway that had moss and it did seem to make some of it disappear. I didnt even think to take photos and now we have snow all over but Ill definitely be trying this again in the spring. I do like how big the package is and Ill be on the lookout for more products that will help with moss as well!,syndicated reviews,0.0,5,0,0,0,Yes,[this review was collected as part of a promotion.] i received this product free to try and give my honest review. i used this on parts of my driveway that had moss and it did seem to make some of it disappear. i didnt even think to take photos and now we have snow all over but ill definitely be trying this again in the spring. i do like how big the package is and ill be on the lookout for more products that will help with moss as well!,2021-12-29,90,Positive,0.0,1.0,0.0,0.0,positive,,efficient,effective,ease of use,0.9990658760070801,"('', 'efficient', 'effective', 'ease of use', 'effective')",
17,Garden,70799,MOSS OUT! For Roofs & Walks 27 oz. Ready To Spray,https://www.walmart.com//ip/Lilly-Miller-Moss-Out-Liquid-Herbicide-Moss-Killer-for-Roofs-and-Walks-27-oz/17757412?selected=true,Walmart,MossOut,17757412,17757412,No,2021-12-24 0:00:00,2021,12,51,works great,[This review was collected as part of a promotion.] My roof was getting moss on it and this was able to get it all off and to stop it from growing back,organic reviews,17.24,5,0,0,0,Yes,[this review was collected as part of a promotion.] my roof was getting moss on it and this was able to get it all off and to stop it from growing back,2021-12-24,32,Positive,0.0,1.0,0.0,0.0,neutral,,efficient,effective,ease of use,0.9982485771179199,"('', 'efficient', 'effective', 'ease of use', 'effective')",
18,Garden,70249,MOSS OUT! Spot Treater For Lawns & Flower Beds 5 lb Granules,https://www.homedepot.com/p/Moss-Out-5-lbs-Moss-Out-Ready-to-Use-Moss-Killer-Lawn-Granules-100543551/314752274,Homedepot,MossOut,314752274,314752274,No,2021-12-17 0:00:00,2021,12,50,MOSS OUT!,[This review was collected as part of a promotion.] Frist time using this in my yard it looks pretty dry and smells weird not a prove around children and pets gave me headache,syndicated reviews,14.97,1,0,0,0,Yes,[this review was collected as part of a promotion.] frist time using this in my yard it looks pretty dry and smells weird not a prove around children and pets gave me headache,2021-12-17,33,Negative,0.0,0.0,0.0,0.0,negative,,,,,0.4979541301727295,"('', '', '', '', 'cost')",other
19,Garden,54757,MOSS OUT! For Lawns Granules 40 lb Granules,https://www.lowes.com/pd/Lilly-Miller-40-lb-Moss-Control/1000342343,Lowes,MossOut,1000342343,1000342343,No,2021-08-07 0:00:00,2021,8,31,Worked good,I had my lawn guy spead all of the Lilly Miller 40-lb Moss Control on 3-24 1st pic. The last pics are on 4-20 and you can see where it has turned black and died in the garden area and the grass. To date the moss has not returned and my grass has filled in where it was black and now looks great. Still waitng for my lawn guy to get the dead stuff out of my garden area. I think this works allot better than the moss sprays. Will use this every March for now on.,organic reviews,25.48,4,6,0,0,No,i had my lawn guy spead all of the lilly miller 40-lb moss control on 3-24 1st pic. the last pics are on 4-20 and you can see where it has turned black and died in the garden area and the grass. to date the moss has not returned and my grass has filled in where it was black and now looks great. still waitng for my lawn guy to get the dead stuff out of my garden area. i think this works allot better than the moss sprays. will use this every march for now on.,2021-08-07,97,Neutral,0.0,1.0,0.0,0.0,neutral,cost,efficient,effective,,0.9972158670425415,"('cost', 'efficient', 'effective', '', 'effective')",
20,Garden,70660,MOSS OUT! For Roofs & Walks 27 oz. Ready To Spray,https://www.lowes.com/pd/Moss-Out-27-oz-Moss-Control/3804579,Lowes,MossOut,3804579,3804579,No,2021-12-01 0:00:00,2021,12,48,great product,"[This review was collected as part of a promotion.] I got this product free from influenster and gave it away to a family friend who needed it. I live in an apartment so had no use for it but they did and they said, that their moss issue was resolving after they started using it. They recommend it, as it was a recurring issue for them.",syndicated reviews,16.78,5,0,0,0,Yes,"[this review was collected as part of a promotion.] i got this product free from influenster and gave it away to a family friend who needed it. i live in an apartment so had no use for it but they did and they said, that their moss issue was resolving after they started using it. they recommend it, as it was a recurring issue for them.",2021-12-01,66,Positive,0.0,1.0,0.0,0.0,neutral,,efficient,effective,ease of use,0.9923925995826721,"('', 'efficient', 'effective', 'ease of use', 'effective')",
21,Garden,100060,MOSS OUT! For Lawns 20 lb Granules,http://www.homedepot.com/p/100598516,Homedepot,MossOut,100598516,100598516,Yes,2022-04-19 0:00:00,2022,4,16,Lily Millers Moss Out works great. Ive used it for...,Lily Millers Moss Out works great. Ive used it for years in shady areas that get moss. It kills it and makes it easy to take.,organic reviews,19.99,5,0,0,0,No,lily millers moss out works great. ive used it for years in shady areas that get moss. it kills it and makes it easy to take.,2022-04-19,26,Positive,0.0,1.0,0.0,0.0,positive,,efficient,effective,ease of use,0.9968769550323486,"('', 'efficient', 'effective', 'ease of use', 'effective')",
22,Garden,90109,MOSS OUT! For Lawns Liquid 1 Gallon Liquid Concentrate,http://www.homedepot.com/p/100138813,Homedepot,MossOut,100138813,100138813,Yes,2022-04-13 0:00:00,2022,4,15,East to apply with hose end sprayer-just need to get...,East to apply with hose end sprayer-just need to get the mix ratio straight.  Moss turned black right away.  Am going to rake out the dead moss in a few days and reseed.,organic reviews,16.88,5,0,0,0,No,east to apply with hose end sprayer-just need to get the mix ratio straight.  moss turned black right away.  am going to rake out the dead moss in a few days and reseed.,2022-04-13,35,Positive,0.0,1.0,0.0,1.0,neutral,,,effective,,0.9889179468154907,"('', '', 'effective', '', 'effective')",
23,Garden,10516,MOSS OUT! For Lawns 20 lb Granules,http://www.homedepot.com/p/t/100598516,Homedepot,MossOut,100598516,100598516,No,2021-11-22 0:00:00,2021,11,47,Very Good,[This review was collected as part of a promotion.] All I can say is I put this down on a Saturday afternoon and by Tuesday evening the Moss had already turned black. This product is cheaper than some people spend on lunch. If you have a problem with moss around your house dont eat lunch one day and by this and you will be extremely happy,syndicated reviews,18.97,4,0,0,0,Yes,[this review was collected as part of a promotion.] all i can say is i put this down on a saturday afternoon and by tuesday evening the moss had already turned black. this product is cheaper than some people spend on lunch. if you have a problem with moss around your house dont eat lunch one day and by this and you will be extremely happy,2021-11-22,66,Positive,1.0,1.0,1.0,0.0,positive,cost,efficient,effective,ease of use,0.9986152648925781,"('cost', 'efficient', 'effective', 'ease of use', 'effective')",
24,Garden,66567,MOSS OUT! For Lawns 20 lb Granules,https://www.walmart.com//ip/Lilly-Miller-Moss-Out-for-Lawns-With-10-Iron-20lb-Bag-Covers-5-000-sq-ft/16795015?selected=true,Walmart,MossOut,16795015,16795015,No,2021-07-17 0:00:00,2021,7,28,,A couple stores were out MossOut and didnt have time look any more so got through Walmart. Worked so well and fast.,organic reviews,14.97,5,0,0,0,No,a couple stores were out mossout and didnt have time look any more so got through walmart. worked so well and fast.,2021-07-17,22,Positive,1.0,1.0,0.0,0.0,positive,,efficient,effective,ease of use,0.9918871521949768,"('', 'efficient', 'effective', 'ease of use', 'effective')",
25,Garden,13788,MOSS OUT! Plus Fertilizer For Lawns 20-0-5 20 lb Granules,http://www.homedepot.com/p/t/203419243,Homedepot,MossOut,203419243,203419243,No,2021-11-30 0:00:00,2021,11,48,good product,[This review was collected as part of a promotion.] We have some mossy areas throughout the yard that we havent been able to get rid of and this product seems to have helped with those spots. Unfortunately its the cold time of year and we havent used it enough but We will use it again in the spring and hopefully it will rid the yard of moss for good.,syndicated reviews,18.48,4,0,0,0,Yes,[this review was collected as part of a promotion.] we have some mossy areas throughout the yard that we havent been able to get rid of and this product seems to have helped with those spots. unfortunately its the cold time of year and we havent used it enough but we will use it again in the spring and hopefully it will rid the yard of moss for good.,2021-11-30,69,Positive,0.0,0.0,0.0,0.0,positive,,efficient,effective,,0.9954900145530701,"('', 'efficient', 'effective', '', 'effective')",
26,Garden,90514,MOSS OUT! For Lawns Liquid 1 Gallon Liquid Concentrate,https://www.lowes.com/pd/Moss-Out-1-Gallon-Concentrate-Moss-Control/3774117,Lowes,MossOut,3774117,3774117,No,2022-04-13 0:00:00,2022,4,15,This product is awesome!,I used this product today on the moss in the yard. This stuff is awesome. I had used 2 + bags ( !8 lbs. each ) of another product and the moss was still there. I saw the moss die almost right before my eyes. Love it !,syndicated reviews,16.98,5,0,0,0,No,i used this product today on the moss in the yard. this stuff is awesome. i had used 2 + bags ( !8 lbs. each ) of another product and the moss was still there. i saw the moss die almost right before my eyes. love it !,2022-04-13,48,Positive,0.0,1.0,0.0,0.0,positive,,efficient,effective,,0.996559739112854,"('', 'efficient', 'effective', '', 'effective')",
27,Garden,70659,MOSS OUT! For Roofs & Walks 27 oz. Ready To Spray,https://www.lowes.com/pd/Moss-Out-27-oz-Moss-Control/3804579,Lowes,MossOut,3804579,3804579,No,2021-12-03 0:00:00,2021,12,48,did the job,[This review was collected as part of a promotion.] We dont have a ton of moss typically but noticed some around our sprinklers on the sidewalk in front of our house. Used this and had great results! Would purchase again if we ran into the same issue. Only gave it 4 instead of 5 stars because our problem was mild so I cant attest to the strength and I didnt love the odor.,syndicated reviews,16.78,4,0,0,0,Yes,[this review was collected as part of a promotion.] we dont have a ton of moss typically but noticed some around our sprinklers on the sidewalk in front of our house. used this and had great results! would purchase again if we ran into the same issue. only gave it 4 instead of 5 stars because our problem was mild so i cant attest to the strength and i didnt love the odor.,2021-12-03,73,Positive,1.0,0.0,0.0,0.0,positive,,efficient,effective,,0.994573175907135,"('', 'efficient', 'effective', '', 'effective')",
28,Garden,79002,MOSS OUT! For Lawns Liquid 1 Gallon Liquid Concentrate,https://www.amazon.com/dp/B000NCUVB8,Amazon,MossOut,B000NCUVB8,B000NCUVB8,No,2022-03-28 0:00:00,2022,3,13,Lawn moss killer,mixed up in my 1 1/2 gal tank sprayer ...took about a week --but for now the moss is dead !This is concentrate so dont spray it on full strength ...,organic reviews,0.0,5,0,0,0,No,mixed up in my 1 1/2 gal tank sprayer ...took about a week --but for now the moss is dead !this is concentrate so dont spray it on full strength ...,2022-03-28,31,Positive,1.0,1.0,0.0,0.0,negative,,,effective,,0.7673022747039795,"('', '', 'effective', '', 'effective')",
29,Garden,110006,MOSS OUT! For Lawns 20 lb Granules,https://www.amazon.com/dp/B0015HZIT0,Amazon,MossOut,B0015HZIT0,B0015HZIT0,No,2022-04-26 0:00:00,2022,4,17,Turns the moss black,"I have acid soil and shady with pine trees. When some grass dies and opens up a spot of dirt, if its not crabgrass that grows its moss. I use this three times during the summer season - beginning middle and end.It turns the moss black and the grass will grow through it. I have zoysia grass and it wont spread through live moss. This allows the zoysia to take hold.This is really the only moss killer that mostly works. I say mostly because if it is not completely covered with grass by the next spring the moss comes back, but a lot less than before.",organic reviews,14.97,5,0,0,0,No,"i have acid soil and shady with pine trees. when some grass dies and opens up a spot of dirt, if its not crabgrass that grows its moss. i use this three times during the summer season - beginning middle and end.it turns the moss black and the grass will grow through it. i have zoysia grass and it wont spread through live moss. this allows the zoysia to take hold.this is really the only moss killer that mostly works. i say mostly because if it is not completely covered with grass by the next spring the moss comes back, but a lot less than before.",2022-04-26,106,Positive,0.0,1.0,0.0,0.0,neutral,cost,efficient,effective,,0.9881994128227234,"('cost', 'efficient', 'effective', '', 'effective')",
30,Garden,70790,MOSS OUT! For Lawns 20 lb Granules,https://www.walmart.com//ip/Lilly-Miller-Moss-Out-for-Lawns-With-10-Iron-20lb-Bag-Covers-5-000-sq-ft/16795015?selected=true,Walmart,MossOut,16795015,16795015,No,2021-12-10 0:00:00,2021,12,49,not long enough to see results,[This review was collected as part of a promotion.] Ive used this product for a couple of weeks and I dont think its enough time to say if its working or not. Its super easy to use which is super helpful because Im always busy. Cant wait to see the final results.,organic reviews,14.97,4,0,0,0,Yes,[this review was collected as part of a promotion.] ive used this product for a couple of weeks and i dont think its enough time to say if its working or not. its super easy to use which is super helpful because im always busy. cant wait to see the final results.,2021-12-10,52,Neutral,0.0,1.0,0.0,1.0,positive,,efficient,,ease of use,0.9967672228813171,"('', 'efficient', '', 'ease of use', 'ease of use')",
31,Garden,70637,MOSS OUT! For Lawns 20 lb Granules,https://www.lowes.com/pd/Moss-Out-20-lb-Moss-Control/3556974,Lowes,MossOut,3556974,3556974,No,2021-12-10 0:00:00,2021,12,49,No more miss!,[This review was collected as part of a promotion.] I have this to my husband to use in our backyard and he said worked really well! Be sure to follow all package instructions! Got rid of all the backyard grass-moss pretty quickly!,syndicated reviews,15.88,5,0,0,0,Yes,[this review was collected as part of a promotion.] i have this to my husband to use in our backyard and he said worked really well! be sure to follow all package instructions! got rid of all the backyard grass-moss pretty quickly!,2021-12-10,42,Positive,1.0,1.0,0.0,1.0,positive,,efficient,effective,ease of use,0.9986887574195862,"('', 'efficient', 'effective', 'ease of use', 'effective')",
32,Garden,70129,MOSS OUT! For Roofs & Structures 6 lb Granules,http://www.homedepot.com/p/100484120,Homedepot,MossOut,100484120,100484120,No,2021-12-16 0:00:00,2021,12,50,impressive!,[This review was collected as part of a promotion.] This is the first time Ive used any type of miss removal product so I was a little skeptical of something working so fast but Im here to report that I was very wrong. This product removed moss from my drive way in less than 48 hours! Talk about impressive. Ill definitely be recommending this brand to everyone I know,syndicated reviews,21.88,5,0,0,0,Yes,[this review was collected as part of a promotion.] this is the first time ive used any type of miss removal product so i was a little skeptical of something working so fast but im here to report that i was very wrong. this product removed moss from my drive way in less than 48 hours! talk about impressive. ill definitely be recommending this brand to everyone i know,2021-12-16,69,Positive,1.0,1.0,0.0,0.0,positive,,efficient,effective,,0.9988499879837036,"('', 'efficient', 'effective', '', 'effective')",
33,Garden,36678,MOSS OUT! Spot Treater For Lawns & Flower Beds 5 lb Granules,http://www.homedepot.com/p/t/314752274,Homedepot,MossOut,314752274,314752274,No,2021-06-09 0:00:00,2021,6,23,Worked very quickly.  Worked faster when wet....,Worked very quickly.  Worked faster when wet.,organic reviews,14.97,5,0,0,0,No,worked very quickly.  worked faster when wet.,2021-06-09,8,Positive,1.0,1.0,0.0,0.0,positive,,efficient,effective,,0.9958856701850891,"('', 'efficient', 'effective', '', 'effective')",
34,Garden,10360,MOSS OUT! For Lawns 20 lb Granules,http://www.homedepot.com/p/t/100598516,Homedepot,MossOut,100598516,100598516,No,2021-11-22 0:00:00,2021,11,47,it works!,[This review was collected as part of a promotion.] Great product that really worked for our home. We had tenacious and grit-filled moss growing by the turf in our yard. A little of this and it was gone.,syndicated reviews,18.97,5,0,0,0,Yes,[this review was collected as part of a promotion.] great product that really worked for our home. we had tenacious and grit-filled moss growing by the turf in our yard. a little of this and it was gone.,2021-11-22,38,Positive,0.0,1.0,0.0,0.0,positive,,efficient,effective,ease of use,0.9977555871009827,"('', 'efficient', 'effective', 'ease of use', 'effective')",
35,Garden,779,MOSS OUT! For Lawns 20 lb Granules,https://www.amazon.com/dp/B0015HZIT0,Amazon,MossOut,B0015HZIT0,B0015HZIT0,No,2021-06-06 0:00:00,2021,6,22,Works as advertised.,Great stuff. Used in my whole yard for a lot of moss.,organic reviews,14.97,5,0,0,0,No,great stuff. used in my whole yard for a lot of moss.,2021-06-06,12,Positive,0.0,1.0,0.0,0.0,positive,,efficient,effective,,0.9960149526596069,"('', 'efficient', 'effective', '', 'effective')",
36,Garden,73046,20 lb. Moss Out! Moss Killer Lawn Granules,http://www.homedepot.com/p/100598516,Homedepot,MossOut,100598516,100598516,No,2022-02-09 0:00:00,2022,2,6,At this point. The moss out has not done a...,At this point. The moss out has not done a very good job. Applied two weeks ago,organic reviews,18.97,1,0,0,0,No,at this point. the moss out has not done a very good job. applied two weeks ago,2022-02-09,17,Negative,0.0,0.0,0.0,0.0,negative,,,,,0.5356828570365906,"('', '', '', '', 'cost')",other
