,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,sentiment,efficient,effective,cost,ease of use,sentiment_m,cost_m,efficient_m,effective_m,ease of use_m,max,align_type,other_m
10,Garden,76201,Expert Gardener All Purpose Fertilizer 10-10-10 Formula; 40 lb.,https://www.walmart.com//ip/Expert-Gardener-All-Purpose-Fertilizer-10-10-10-Formula-40-lb/166185332?selected=true,Walmart,ExpertGardener,166185332,166185332,Yes,2022-03-08 0:00:00,2022,3,10,,This is a nice all-purpose fertilizer.,organic reviews,14.62,5,0,0,0,No,this is a nice all-purpose fertilizer.,2022-03-08,Positive,0.0,1.0,0.0,1.0,positive,,efficient,effective,ease of use,0.9982629418373108,"('', 'efficient', 'effective', 'ease of use', '')",
11,Garden,72730,Expert Gardener Citrus Plant Food Fertilizer 6-4-6; 10 lbs.,https://www.walmart.com//ip/Expert-Gardener-Citrus-Plant-Food-Fertilizer-6-4-6-10-lbs/587336041?selected=true,Walmart,ExpertGardener,587336041,870632402,Yes,2022-01-27 0:00:00,2022,1,4,Food for your food,"I like this product and have been using it for years. I use it on all my citrus plants. We use citrus food on our orange, pomelo, kumquat trees and even our passion fruit plants. Plus, it was a bonus for getting reimbursement for something I already use. I received product reimbursement in exchange for my honest review of this product.",organic reviews,9.26,4,0,0,0,No,"i like this product and have been using it for years. i use it on all my citrus plants. we use citrus food on our orange, pomelo, kumquat trees and even our passion fruit plants. plus, it was a bonus for getting reimbursement for something i already use. i received product reimbursement in exchange for my honest review of this product.",2022-01-27,Positive,0.0,1.0,0.0,0.0,positive,cost,efficient,effective,ease of use,0.9953526258468628,"('cost', 'efficient', 'effective', 'ease of use', '')",
12,Garden,74241,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 2 cu. ft. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-2-cu-ft-Bag/112134279?selected=true,Walmart,ExpertGardener,112134279,112134279,Yes,2022-02-23 0:00:00,2022,2,8,A little pricey but decent quality,"I like how the potting soil is both for indoor and outdoor pots. It makes it more versatile. The soil was a rich dark color with limited twigs/branches/fillers. I also like how it had the the pieces of perlite in it for added nutrients. With that being said, I think it was a little pricey. This was 8 quarts for about 4 dollars. I can get 64 quarts from Lowes for about 11. I received product reimbursement in exchange for my honest review. I",organic reviews,11.97,3,0,0,0,No,"i like how the potting soil is both for indoor and outdoor pots. it makes it more versatile. the soil was a rich dark color with limited twigs/branches/fillers. i also like how it had the the pieces of perlite in it for added nutrients. with that being said, i think it was a little pricey. this was 8 quarts for about 4 dollars. i can get 64 quarts from lowes for about 11. i received product reimbursement in exchange for my honest review. i",2022-02-23,Neutral,0.0,1.0,1.0,0.0,positive,cost,,,,0.9614670276641846,"('cost', '', '', '', '')",
13,Garden,67508,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 2 cu. ft. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-2-cu-ft-Bag/112134279?selected=true,Walmart,ExpertGardener,112134279,112490018,Yes,2021-06-18 0:00:00,2021,6,24,Root rot,"This mix would be better suited to a garden than a pot. It retains moisture to the point that several of my plants have died of root rot. I am a seasoned gardener, and all of my pots have adequate drainage. I should have spent the extra money on Miracle Gro.",organic reviews,9.97,3,0,0,0,No,"this mix would be better suited to a garden than a pot. it retains moisture to the point that several of my plants have died of root rot. i am a seasoned gardener, and all of my pots have adequate drainage. i should have spent the extra money on miracle gro.",2021-06-18,Negative,0.0,0.0,0.0,0.0,negative,,,,,0.687388002872467,"('', '', '', '', 'other')",other
14,Garden,90600,"Expert Gardener Southern Weed & Feed, Lawn Fertilizer & Weed Control, Covers 5,000 sq. ft.",https://www.walmart.com//ip/Expert-Gardener-Southern-Weed-Feed-Lawn-Food-Fertilizer-Weed-Control-Covers-5-000-sq-ft/261054710?selected=true,Walmart,ExpertGardener,261054710,810808383,Yes,2022-04-15 0:00:00,2022,4,15,Good product,"Relatively inexpensive, works as advertised",organic reviews,19.88,5,0,0,0,No,"relatively inexpensive, works as advertised",2022-04-15,Positive,0.0,1.0,1.0,0.0,positive,cost,efficient,effective,ease of use,0.998744010925293,"('cost', 'efficient', 'effective', 'ease of use', '')",
15,Garden,150161,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 8 qt. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-8-qt-Bag/114494649?selected=true,Walmart,ExpertGardener,114494649,114494649,Yes,2022-05-22 0:00:00,2022,5,20,,was not soil looked more like mulch,organic reviews,4.74,1,0,0,0,No,was not soil looked more like mulch,2022-05-22,Neutral,0.0,0.0,0.0,0.0,negative,,,,,0.13638846576213837,"('', '', '', '', 'other')",other
16,Garden,67860,"Expert Gardener Texas Turf Lawn Fertilizer, Plus 2% Iron, covers 5,000 sq. ft",https://www.walmart.com//ip/Expert-Gardener-Texas-Turf-Lawn-Fertilizer-Plus-2-Iron-covers-5-000-sq-ft/660908503?selected=true,Walmart,ExpertGardener,660908503,660908503,No,2021-09-05 0:00:00,2021,9,35,"Great product, poor shipping!","Good npk ratio for my needs, sulfur and iron is a nice bonus.  My yard responded well.  Order extra - Walmart just sticks a FedEx label on the bag.  I only actually received 2/6 bags that I ordered.  I got part of third bag but probably half the fertilizer was lost in shipping.  The other 3 bags were destroyed in shipping and never made it.",organic reviews,14.88,4,0,0,0,No,"good npk ratio for my needs, sulfur and iron is a nice bonus.  my yard responded well.  order extra - walmart just sticks a fedex label on the bag.  i only actually received 2/6 bags that i ordered.  i got part of third bag but probably half the fertilizer was lost in shipping.  the other 3 bags were destroyed in shipping and never made it.",2021-09-05,Neutral,0.0,0.0,0.0,0.0,positive,cost,efficient,effective,,0.9880347847938538,"('cost', 'efficient', 'effective', '', '')",
17,Garden,74370,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 8 qt. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-8-qt-Bag/114494649?selected=true,Walmart,ExpertGardener,114494649,112490018,Yes,2022-02-22 0:00:00,2022,2,8,Good base mix,"the expert gardener pouring mix is an ok size mix, 8qt. not big enough to do a garden, but a smaller pot it would be perfect. the package is very light, its a very dry and powdery mix. by itself not a great mix, but as a base potting mix that you will add some nutrients to, it was a pretty reasonable price. I received product reimbursement in exchange for my honest review",organic reviews,3.93,3,0,0,0,No,"the expert gardener pouring mix is an ok size mix, 8qt. not big enough to do a garden, but a smaller pot it would be perfect. the package is very light, its a very dry and powdery mix. by itself not a great mix, but as a base potting mix that you will add some nutrients to, it was a pretty reasonable price. i received product reimbursement in exchange for my honest review",2022-02-22,Neutral,0.0,0.0,1.0,0.0,positive,cost,,effective,,0.9660366177558899,"('cost', '', 'effective', '', '')",
18,Garden,74409,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 1 cu. ft. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-1-cu-ft-Bag/112490018?selected=true,Walmart,ExpertGardener,112490018,112490018,Yes,2022-02-23 0:00:00,2022,2,8,"Great soil, great price!","Great potting mix. Has a good balance, not too heavy, great for repotting my plants from last year. I used this for my bare root blueberries and strawberries that I recently purchased, as I decided to put them in pots. Soil drained well, and held a good amount of moisture. I received product reimbursement in exchange for my honest review.",organic reviews,7.48,5,0,0,0,No,"great potting mix. has a good balance, not too heavy, great for repotting my plants from last year. i used this for my bare root blueberries and strawberries that i recently purchased, as i decided to put them in pots. soil drained well, and held a good amount of moisture. i received product reimbursement in exchange for my honest review.",2022-02-23,Positive,0.0,1.0,0.0,0.0,positive,cost,efficient,effective,ease of use,0.9963834285736084,"('cost', 'efficient', 'effective', 'ease of use', '')",
19,Garden,67710,"Expert Gardener Tomato & Vegetable Garden Plant Food Fertilizer 12-10-5, 10 lbs.",https://www.walmart.com//ip/Expert-Gardener-Tomato-Vegetable-Garden-Plant-Food-Fertilizer-12-10-5-10-lbs/381276552?selected=true,Walmart,ExpertGardener,381276552,920467930,No,2021-06-24 0:00:00,2021,6,25,Wish Id purchased more bags,My tomatoes bloomed and blossomed.,organic reviews,9.92,5,0,0,0,No,my tomatoes bloomed and blossomed.,2021-06-24,Positive,0.0,1.0,0.0,0.0,positive,,,effective,,0.9786025881767273,"('', '', 'effective', '', '')",
20,Garden,74376,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 1 cu. ft. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-1-cu-ft-Bag/112490018?selected=true,Walmart,ExpertGardener,112490018,112490018,Yes,2022-02-23 0:00:00,2022,2,8,Great value,This potting mix is exactly what I would expect out of potting mix. The texture is similar to what I have purchased in the past and will work quite well as I start my plants indoors this year. I specifically appreciate the tips and instructions on the back of the bag of potting mix. They will be helpful for new growers and a great reminder for experienced growers. Overall I would say its a great value for the money. Disclaimer:I received product reimbursement in exchange for my honest review.,organic reviews,7.48,4,0,0,0,No,this potting mix is exactly what i would expect out of potting mix. the texture is similar to what i have purchased in the past and will work quite well as i start my plants indoors this year. i specifically appreciate the tips and instructions on the back of the bag of potting mix. they will be helpful for new growers and a great reminder for experienced growers. overall i would say its a great value for the money. disclaimer:i received product reimbursement in exchange for my honest review.,2022-02-23,Positive,0.0,1.0,0.0,0.0,positive,cost,efficient,effective,ease of use,0.9913610816001892,"('cost', 'efficient', 'effective', 'ease of use', '')",
21,Garden,68090,Expert Gardener Sun & Shade Grass Seed Southern Mix; 7 lb.,https://www.walmart.com/ip/Expert-Gardener-Sun-Shade-Grass-Seed-Southern-Mix-7-lb/484325100,Walmart,ExpertGardener,484325100,274168974,No,2021-06-10 0:00:00,2021,6,23,Negative,It doesnt work very well It states heat resistant but where it has come up it has already turned brown.,organic reviews,14.96,1,0,0,0,No,it doesnt work very well it states heat resistant but where it has come up it has already turned brown.,2021-06-10,Negative,0.0,0.0,0.0,0.0,negative,,,,,0.6043824553489685,"('', '', '', '', 'other')",other
22,Garden,76203,Expert Gardener All Purpose Fertilizer 10-10-10 Formula; 40 lb.,https://www.walmart.com//ip/Expert-Gardener-All-Purpose-Fertilizer-10-10-10-Formula-40-lb/166185332?selected=true,Walmart,ExpertGardener,166185332,166185332,Yes,2022-03-09 0:00:00,2022,3,10,Good product,Quick delivery. Packaged well.,organic reviews,14.62,5,0,0,0,No,quick delivery. packaged well.,2022-03-09,Positive,0.0,0.0,0.0,0.0,positive,,efficient,effective,ease of use,0.996159017086029,"('', 'efficient', 'effective', 'ease of use', '')",
23,Garden,74433,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 1 cu. ft. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-1-cu-ft-Bag/112490018?selected=true,Walmart,ExpertGardener,112490018,112490018,Yes,2022-02-24 0:00:00,2022,2,8,Good potting soil,"it has a nice rich earthy smell, airy and moist. I didnt see any bug or mold on the soil, which is important. it has enough nutrients to give the plant some food for 6 months. overall Im impressed with it. I received product reimbursement in exchange for my honest review.",organic reviews,7.48,5,0,0,0,No,"it has a nice rich earthy smell, airy and moist. i didnt see any bug or mold on the soil, which is important. it has enough nutrients to give the plant some food for 6 months. overall im impressed with it. i received product reimbursement in exchange for my honest review.",2022-02-24,Positive,0.0,0.0,0.0,0.0,positive,,efficient,effective,ease of use,0.9873588681221008,"('', 'efficient', 'effective', 'ease of use', '')",
24,Garden,74386,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 1 cu. ft. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-1-cu-ft-Bag/112490018?selected=true,Walmart,ExpertGardener,112490018,112490018,Yes,2022-02-23 0:00:00,2022,2,8,Lets grow some money!,This product was relatively inexpensive compared to other brands. I like that it it good for indoor and outdoor plants. I especially love that it feeds for up to 6 months and that there is a money back guarantee. That makes me more confident in the product. I used it for my money tree and cant wait to see how much bigger it gets after using this product. I received product reimbursement in exchange for my honest review.,organic reviews,7.48,5,0,0,0,No,this product was relatively inexpensive compared to other brands. i like that it it good for indoor and outdoor plants. i especially love that it feeds for up to 6 months and that there is a money back guarantee. that makes me more confident in the product. i used it for my money tree and cant wait to see how much bigger it gets after using this product. i received product reimbursement in exchange for my honest review.,2022-02-23,Positive,1.0,1.0,1.0,0.0,positive,cost,efficient,effective,,0.9886800050735474,"('cost', 'efficient', 'effective', '', '')",
25,Garden,74213,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 2 cu. ft. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-2-cu-ft-Bag/112134279?selected=true,Walmart,ExpertGardener,112134279,112134279,Yes,2022-02-22 0:00:00,2022,2,8,Simply Amazing,"I love how fluffy the expert potting mix is. It has a great blend of sphagnum peat moss, and perlite to help drain the water in my plants. I look forward to growing all kinds of flowers with this soil. I also love how the bag shows how much potting soul to use for my pots! I received product reimbursement in exchange formy honest review.",organic reviews,11.97,5,0,0,0,No,"i love how fluffy the expert potting mix is. it has a great blend of sphagnum peat moss, and perlite to help drain the water in my plants. i look forward to growing all kinds of flowers with this soil. i also love how the bag shows how much potting soul to use for my pots! i received product reimbursement in exchange formy honest review.",2022-02-22,Positive,1.0,0.0,0.0,0.0,positive,cost,efficient,effective,ease of use,0.9941429495811462,"('cost', 'efficient', 'effective', 'ease of use', '')",
26,Garden,74351,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 8 qt. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-8-qt-Bag/114494649?selected=true,Walmart,ExpertGardener,114494649,112490018,Yes,2022-02-22 0:00:00,2022,2,8,Rich soil and reasonably priced.,"First off, this soil is very reasonably priced, under $4. Once I started using it, I noticed it was very rich and the nutrients were very visible. I believe these will enhance my plants life and they will be much happier. :). I received product reimbursement in exchange for my honest review.",organic reviews,3.93,5,0,0,0,No,"first off, this soil is very reasonably priced, under $4. once i started using it, i noticed it was very rich and the nutrients were very visible. i believe these will enhance my plants life and they will be much happier. :). i received product reimbursement in exchange for my honest review.",2022-02-22,Positive,0.0,1.0,1.0,0.0,positive,cost,efficient,effective,,0.992738664150238,"('cost', 'efficient', 'effective', '', '')",
27,Garden,67523,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 2 cu. ft. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-2-cu-ft-Bag/112134279?selected=true,Walmart,ExpertGardener,112134279,112490018,Yes,2021-06-28 0:00:00,2021,6,26,mushroom in my potting soil,"i hated this soil at first i thought it was ok but after i used it i was getting mushroom growing in my planter, thinking it was possibly something that blew in from the outside into my planter i looked in the soil bag and it had mushrooms growing in it too, so it was the soil mix",organic reviews,9.97,1,0,0,0,No,"i hated this soil at first i thought it was ok but after i used it i was getting mushroom growing in my planter, thinking it was possibly something that blew in from the outside into my planter i looked in the soil bag and it had mushrooms growing in it too, so it was the soil mix",2021-06-28,Neutral,0.0,0.0,0.0,0.0,negative,cost,,,,0.7627483606338501,"('cost', '', '', '', '')",
28,Garden,150220,"Expert Gardener Tomato & Vegetable Garden Plant Food Fertilizer 12-10-5, 10 lbs.",https://www.walmart.com//ip/Expert-Gardener-Tomato-Vegetable-Garden-Plant-Food-12-10-5-Fertilizer-10-lbs/381276552?selected=true,Walmart,ExpertGardener,381276552,920467930,Yes,2022-06-18 0:00:00,2022,6,24,Good Foundation feed for gardens.,Works well I used for foundation feeding and supplemented with liquid fertilizer weekly and my veggies are doing great .highly recommend,organic reviews,9.26,5,0,0,0,No,works well i used for foundation feeding and supplemented with liquid fertilizer weekly and my veggies are doing great .highly recommend,2022-06-18,Positive,0.0,1.0,0.0,0.0,positive,,efficient,effective,,0.9991328120231628,"('', 'efficient', 'effective', '', '')",
29,Garden,74415,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 1 cu. ft. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-1-cu-ft-Bag/112490018?selected=true,Walmart,ExpertGardener,112490018,112490018,Yes,2022-02-23 0:00:00,2022,2,8,So far so good,"I bought this potting mix to repot my anthurium, it stopped blooming, so I figured its time to get a bigger pot. This potting mix claims that it helps to grow bigger plants with more bloom, so I decided to give it a try. Even though its too early for the result since Ive just repotted it, I loved the texture of this mix, it feels right and not moist at all, the smell is also very good. The information on the bag was very helpful, it tells you how to grow plants and gives you some tips on how much soil you need. Overall I like the quality of this mix and fingers crossed my anthurium will bloom again soon. I received product reimbursement in exchange for my honest review.",organic reviews,7.48,5,0,0,0,No,"i bought this potting mix to repot my anthurium, it stopped blooming, so i figured its time to get a bigger pot. this potting mix claims that it helps to grow bigger plants with more bloom, so i decided to give it a try. even though its too early for the result since ive just repotted it, i loved the texture of this mix, it feels right and not moist at all, the smell is also very good. the information on the bag was very helpful, it tells you how to grow plants and gives you some tips on how much soil you need. overall i like the quality of this mix and fingers crossed my anthurium will bloom again soon. i received product reimbursement in exchange for my honest review.",2022-02-23,Positive,0.0,1.0,0.0,1.0,positive,cost,efficient,effective,ease of use,0.9611517190933228,"('cost', 'efficient', 'effective', 'ease of use', '')",
30,Garden,90603,"Expert Gardener Weed & Feed Lawn Fertilizer & Weed Control, Covers 15,000 sq. ft.",https://www.walmart.com//ip/Expert-Gardener-Weed-Feed-Lawn-Food-Fertilizer-Weed-Control-Covers-15-000-sq-ft/935904830?selected=true,Walmart,ExpertGardener,935904830,935904830,Yes,2022-04-13 0:00:00,2022,4,15,Does okay...Ill try something different next time,Its been about a month now. Weeds are getting killed off but now those areas are dead.,organic reviews,45.66,3,0,0,0,No,its been about a month now. weeds are getting killed off but now those areas are dead.,2022-04-13,Negative,0.0,0.0,0.0,0.0,negative,,,effective,,0.9644061326980591,"('', '', 'effective', '', '')",
31,Garden,74354,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 8 qt. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-8-qt-Bag/114494649?selected=true,Walmart,ExpertGardener,114494649,112490018,Yes,2022-02-23 0:00:00,2022,2,8,Special Formula with Good Texture,Expert Gardener Potting Mix has a great texture and smells like fresh dirt. The soil is specially formulated for indoor and outdoor and claims to help grow bigger plants. I just topped off my strawberry plants and plan on using this soil to plant some flowers on the side of the house. I received product reimbursement in exchange for my honest review.,organic reviews,3.93,5,0,0,0,No,expert gardener potting mix has a great texture and smells like fresh dirt. the soil is specially formulated for indoor and outdoor and claims to help grow bigger plants. i just topped off my strawberry plants and plan on using this soil to plant some flowers on the side of the house. i received product reimbursement in exchange for my honest review.,2022-02-23,Positive,0.0,0.0,0.0,0.0,positive,cost,,effective,,0.9750606417655945,"('cost', '', 'effective', '', '')",
